skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Decrepify	87	nec	decrepify		30																		3		decrepify	(dm34+(stat('incant_duration'.accr)*25))*(100+(stat('buff_length_modifier'.accr)))/100*((blvl==20)?2:1)	dm12+stat('incant_radius'.accr)	attackrate	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"	velocitypercent	"-(((110 * (lvl-1)) * (par8 - par7)) / (100 * (lvl + 6)) + par7)"																																																															necromancer_curse_cast														18	30						cursedecrepify		cursecast										1	9		none												SC	SC	S2					4															1							necromancer_curse_cast			1	20								1				(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	10	0	1	1																						6	Radius Min	15	Radius Max	250	Duration min	500	Duration max	10	Slow Attack Min	60	Slow Attack Max	4	Slow Move Min	50	Slow Move Max									1								8																																				5	20	0
Bone Prison	88	nec	bone prison	19	104																																																																								boneprison1	none		NU														necromancer_bone_cast														22																			1	10		none												SC	SC	xx					4			1												1					1		necromancer_bone_cast			12	5								1				(100*250)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					5	8	20	-1	1	1										(par1*(lvl-1))+(skill('Bone Armor'.blvl)+skill('Drain Essence'.blvl))*par8+((blvl==5)?25:0)	HP % Modifier											25	HP % per level	250	Duration											8	HP % synergy									1								8																																				5	20	0
Final Calling	89	nec	final calling		81																		65542	calledupon	calledupon		200	hpregen	par2	damagepercent	(ln34+((blvl==20)?75:0))+(stat('ex_attacks'.accr)*10)	attackrate	ln34	armor_override_percent	-100	item_maxhp_percent	par1																																																																																										1	8		none														xx																														1	20								1						0	1					0	8	0	0	1	1	1		(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			-50	Max HP	-12	Drain Life	50	Damage Percent	10	Damage Percent per level	50	Attack Rate	10	Attack Rate Per Leve													1								8		5	1	1	1			5	1	1					mag	5	1	1	1			5	1	1												5	20	0
Iron Golem	90	nec	iron golem	20	57																			thorns				thorns_percent	ln12	fade	16	item_cannotbefrozen	1																velocitypercent	skill('Summon Mastery'.dm56)+stat('sum_speed'.accr)	tohit	(((skill('Summon Mastery'.par8)*skill('Summon Mastery'.lvl))+(skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)))*(100+stat('sum_cr'.accr)))/100	damagepercent	(((par4 * (lvl - 1) + (skill('Fire Golem'.blvl)*skill('Fire Golem'.par8))))*((100+stat('sum_dmg_perc'.accr)))/100)+(stat('ex_attacks'.accr)*10)	armorclass	(lvl*par8)*((100+stat('sum_cr'.accr))/100)	item_fasterattackrate	stat('sum_speed'.accr)	strength	lvl																	IronGolem	igolem	1	S1													1	necromancer_golem_cast														23																			1	5		none												SC	SC	xx					4			1						1																12	20								1						1	1					1	8	25	0	1	1										((lvl*par7)+(skill('Summon Mastery'.par7)*skill('Summon Mastery'.lvl))+ (skill('Blood Golem'.blvl)*skill('Blood Golem'.par8))+stat('sum_hp_perc'.accr))*((blvl==20)?2:1)	HP % Modifier											150	Damage % returned baseline	15	Damage % returned per level			30	Damage Per Level					10	HP% Per Level	35	Iron Golem Armor synergy									1								8																																				5	20	0
Lower Resist	91	nec	lower resist		30																		3		lowerresist	(dm34+(stat('incant_duration'.accr)*25))*(100+(stat('buff_length_modifier'.accr)))/100	(dm12*((blvl==20)?2:1))+stat('incant_radius'.accr)	fireresist	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"	lightresist	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"	coldresist	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"	poisonresist	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"	magicresist	"-(((110 * (lvl-1)) * (par6/2 - par5/2)) / (100 * (lvl + 6)) + par5/2)"																																																									necromancer_curse_cast														18	30						curselowerresist		cursecast										1	8		none												SC	SC	S2					4															1							necromancer_curse_cast			12	20								1				(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	10	0	1	1																						7	Radius Min	20	Radius Max	250	Duration min	500	Duration max	8	Resistance % reduction Min	65	Resistance % reduction Max													1								8																																				5	20	0
Poison Nova	92	nec	poison nova	28	22													poisonnova						clawmastery		10		passive_pois_pierce	((blvl==20)?35:0)																																																																	necromancer_poison_cast															25						poisonnova				0	Missile Velocity Adder							1	3		none												SC	SC	xx																				1							necromancer_poison_cast			18	20								1						1	1					1	8	20	0	1	1										0	Missile Velocity Adder																									10	Damage synergy									1								4															pois	8	4	6	9	16	20	15	4	6	9	16	20	(((skill('Blight Strike'.blvl)+skill('Poison Explosion'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)	50							5	20	0
Bone Spirit	93	nec	bone spirit		10													bonespirit	bonespirit																																																																											necromancer_bone_cast															18						bonespirit												1	7		none												SC	SC	xx																				1			4				necromancer_bone_cast			18	20								1						1	1					1	7	24	1	1	1										0	Damage %																									8	Damage synergy									1								8															mag	33	28	29	30	31	33	48	28	30	32	33	36	(((skill('Bone Prison'.blvl)+skill('Teeth'.blvl)+skill('Bone Spear'.blvl))*par8)+((blvl==20)?30:0)+stat(357.accr)+stat('skill_bonesyn'.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Fire Golem	94	nec	fire golem		56													monstercorpseexplode										fireresist	100 - dm12	item_absorbfire_percent	dm12	firemindam	edmn	firemaxdam	edmx	passive_fire_pierce	stat('passive_fire_pierce'.accr)												velocitypercent	skill('Summon Mastery'.dm56)+stat('sum_speed'.accr)	tohit	(((skill('Summon Mastery'.par8)*skill('Summon Mastery'.lvl))+(skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)))*(100+stat('sum_cr'.accr)))/100	damagepercent	((par4 * (lvl - 1))*((100+stat('sum_dmg_perc'.accr)))/100)+(stat('ex_attacks'.accr)*10)	armorclass	(skill('Iron Golem'.blvl)*skill('Iron Golem'.par8))*((100+stat('sum_cr'.accr))/100)	item_fasterattackrate	stat('sum_speed'.accr)	strength	lvl																	FireGolem	fgolem	((stat('sum_ex'.accr)<3)?1:2)+((blvl==20)?1:0)	S1	GolemFire	"min(ln56,30)"												necromancer_golem_cast																																	1	6		none												SC	SC	xx					4															1										18	20								1						1	1					1	8	10	2	1	1										(lvl*par7)+(skill('Summon Mastery'.par7)*skill('Summon Mastery'.lvl))+ (skill('Blood Golem'.blvl)*skill('Blood Golem'.par8))+stat('sum_hp_perc'.accr)	HP % Modifier	100	Death Explosion Physical Damage	100	Death Explosion Fire Damage	6	Death Explosion Radius					25	Fire Absorb % Min	100	Fire Absorb % Max	100	Damage % baseline	25	Damage % per level	8	Holy Fire Level baseline	1	Holy Fire Level increased per level	10	HP% Per level	6	Fire Golem Damage % synergy									1								8															fire	10	9	10	11	12	13	27	10	11	12	13	14	(stat('sum_dmg_perc'.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Revive	95	nec	revive	21	58																					((blvl==20)?0:4500)*(100+(stat('buff_length_modifier'.accr)))/100		damagepercent	(skill('Summon Mastery'.lvl) * skill('Summon Mastery'.par4)+stat('sum_dmg_perc'.accr))+(stat('ex_attacks'.accr)*10)																				velocitypercent	par5+skill('Summon Mastery'.dm56)+stat('sum_speed'.accr)	attackrate	stat('sum_speed'.accr)	armorclass	10*stat('sum_cr'.accr)	item_tohit_percent	stat('sum_cr'.accr)																						revive	"min(lvl,20)+stat('sum_ex'.accr)"	NU													1	necromancer_revive_cast								necromancer_revive_target						24							revivemedium	revivesmall	revivelarge										1	6		none												SC	SC	xx					4			1		3	1																			18	20								1						1	1					1	8	45	0	1	1										par1+skill('Summon Mastery'.lvl) * skill('Summon Mastery'.par3)+stat('sum_hp_perc'.accr)	HP % Modifier	(blvl==20)?0:(ln34)	Duration									200	HP %			4500	Duration baseline	0	Duration per level	50	Velocity %															1								8																																				5	20	0
Sacrifice	96	pal	sacrifice	29	64										sacrificesplash																																																																															paladin_sacrifice		1													34						bigblood2				0	Random Bonus Range for Splash missile							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1															1	20								1						1	1					0	8	0	0	1	1										(ln12+(skill('Confrontation'.blvl)+skill('Consecrated Ground'.blvl))*par8)+(stat('ex_attacks'.accr)*10)	Damage %	(blvl==20)?((((stat('maxhp'.accr)/256)>1400)?1:(((stat('maxhp'.accr)/256)>1000)?2:(((stat('maxhp'.accr)/256)>800)?3:4)))*((skill('Hear My Prayers'.blvl)==10)?par7:par6)):((skill('Hear My Prayers'.blvl)==10)?par5:par3)	Self Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					80	Damage % baseline	15	Damage % per level	20	Self Damage %	10	Self Damage Minimum Flat Value	10	Self Damage Max HMP	2	Mastery Self Damage % multipler	1	Mastery Self Damage % Max HMP mulitpler	12	Damage synergy									1	20	7		5		3		8	128																																			5	20	0
Smite	97	pal	smite	28	150													null						slowmiss		10		armor_override_percent	-15	toblock	"-(max(25-skill('Shield Glare'.blvl)*((blvl==20)?2:1),0))"	item_fasterblockrate	"-(max(15-skill('Shield Glare'.blvl)*((blvl==20)?2:1),0))"																																																													weapon_2hs_large_1		1																															1	9		h2h	4	shld										S1	S1	xx				1		1	1								1															1	20								1						1	1					0	8	0	0		1										ln34+(stat('ex_attacks'.accr)*10)	Damage %	min(ln12,100)	Stun Length			0	% Damage Dealt as Elemental (Used only if there is an Etype)					15	Stun Length baseline	5	Stun Length per level	15	Damage % baseline	15	Damage % per level							5	Damage Synergy									1				4				8																																				5	20	0
Might	98		might		65																		73731	might	might		ln12	damagepercent	ln34+(stat('ex_attacks'.accr)*10)																																																																																																	1	1	9		none														xx																														1	20								1						0	1					1	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	40	Damage % baseline	10	Damage % per level																	1								8																																				5	20	0
Prayer	99		prayer		65																		73731	prayer	prayer		ln12	hitpoints	edns																																																																																																		1	7		none														xx																														1	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level																					1								8																2	1	1	2	2	3															5	20	0
Consecrated Ground	100	pal	consecrated ground		45																							item_fasterattackrate	dm56	magicmindam	(blvl==0)?par2:(blvl*par2)	item_fastercastrate	dm56	magicmaxdam	(blvl==0)?par3:(blvl*par3)	item_absorbmagic	(blvl==20)?10:0	passive_mag_mastery	stat(357.accr)																																						concground	conctrap	2+(stat('sum_ex'.accr)/2)	S1	ConcNova	lvl	ConcAura1	lvl	Holy Bolt	skill('Holy Bolt'.blvl)							1	paladin_handofgod_cast																																	1	0		rng												SC	SC	SC				1	4																									18	20								1				((blvl==20)?0:(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	0	0	1	1																						20	# of shots (must match ConcNova Param8)	2	Magic Dmg Min	3	Magic Damage Max			5	IAS Min	50	IAS Max			3	Damage Synergy									1								8															mag	8	8	10	13	16	20	16	8	11	15	18	23	((skill('Holy Bolt'.blvl)*par8)+stat(357.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Holy Bolt	101	pal	holy bolt		8													holyboltx																																																																												paladin_holybolt_cast											cast_undead			19	17						holyboltx	holyboltx	bonecast										1	1		none												SC	SC	xx																				1							paladin_holybolt_cast	cast_undead		1	20								1						1	1					1	7	10	1	1	1										((blvl==20)?9:((lvl<2)?1:((lvl<5)?3:((lvl<10)?5:7)))+(min(stat('ex_missiles'.accr),3))	# of Missiles created	1	Missile Activation Frame	((blvl==20)?9:((lvl<2)?1:((lvl<5)?3:((lvl<10)?5:7)))+(min(stat('ex_missiles'.accr),3))	# of missiles that can trigger item modifier events																					10	Damage synergy									1				1		144		7															mag	8	8	10	13	16	20	16	8	11	15	18	23	((((skill('Hold Fast'.blvl)+skill('Hear My Prayers'.blvl))*par8)+stat('hsbonus'.accr)+stat(357.accr))*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Holy Fire	102	pal	holy fire		66																		42883	holyfire			ln12																						firemindam	enms*par5/256	firemaxdam	exms*par5/256	item_cannotbefrozen	(blvl==20)?1:0	item_tohit_percent	blvl*5																																																																							1	0		none														xx																														6	20								1						0	1					0	8	0	0	1	1	1		(100*((blvl==20)?50:100))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			6	Radius baseline	1	Radius per level					3	Damage multiplier added to Attacks	150	"Area Damage % Range Scaling (from 100% to X% damage, based on how close the enemy position is to the caster)"	6	Damage synergy	18	Damage synergy									1				16385				7															fire	4	2	4	12	16	24	12	2	4	12	16	24	((skill('Vengeance'.blvl)*par8+skill('Judge Not'.blvl)*par7)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Thorns	103	pal	thorns		65																		73731	thorns	thorns		ln12	thorns_percent	ln34	armor_override_percent	blvl*2	damageresist	blvl	item_attackertakesdamage	(blvl==20)?100:0																																																																																											1	1	9		none														xx																														1	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	300	Damage % returned baseline	75	Damage % returned per level	5	Damage Resist min	85	Damage Resist MAx													1								8																																				5	20	0
Defiance	104		defiance		65																		73731	defiance	defiance		ln12	skill_armor_percent	ln34																																																																																																	1	1	4		none														xx																														1	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	70	Armor % baseline	10	Armor % per level																	1								8																																				5	20	0
Judge Not	105	pal	judge not		45																							passive_mag_mastery	stat(357.accr)																																																holyturret	judgetrap	(stat('sum_ex'.accr)/5)+(blvl==20)?3:((lvl>9)?2:1)	S1	Judgement	lvl	Blessed Hammer	skill('Blessed Hammer'.blvl)	Shield Toss	skill('Shield Toss'.blvl)																																									1	0		rng												SC	SC	SC				1	4																									1	20								1						1	1					1	8	10	1	1	1																						8	# of shots (must match Judgement Param8)													10	Damage Synergy									1								6															mag	8	10	10	13	16	20	16	11	11	15	18	23	(((skill('Blessed Hammer'.blvl)+skill('Shield Toss'.blvl))*par8)+stat(357.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Zeal	106	pal	zeal	37	13																																																																																								1	paladin_zeal														53	21																		1	2		h2h		mele										A1	A1	A1						1	1								1															1	20								1						1	1					1	6	16	1		1										(blvl==20)?(par6+1):(min((par5 + lvl -1), par6))+stat('ex_attacks'.accr)	# of hits	(ln34+(skill('Smite'.blvl)+skill('Confrontation'.blvl))*par8)+(stat('ex_attacks'.accr)*10)	Damage %			skill('Holy Bolt'.blvl)*par7	% Damage Dealt as Elemental (Used only if there is an Etype)							50	% Anim frame rollback	0	Damage % baseline	15	Damage % per level	2	# of hits Min	5	# of hits Max	5	Holt Bolt Elemental Converstion	12	Damage synergy									1	10	10		8193				8	128														mag																					5	20	0
Shield Toss	107	pal	shield toss	28	26													shieldtoss	shieldtoss	shieldtoss				slowmiss		50	(blvl==20)?par2:par1	toblock	-50																																																																	necromancer_bone_cast															27						shieldtoss	shieldtoss	shieldtoss										1	2		none	4	shld										SQ	A1	xx	12			1																1										24	20								2	holyshield	forsaken_shield				1	1					1	7	10	1	1	1										(lvl<5)?3:((lvl<10)?5:7)+stat('ex_missiles'.accr)+(skill('Shield Glare'.blvl)==10)?2:0	# of target jump hits											9	Radius of jump to next target	15	Radius of jump to next target at max level	15	Damage Per level	15	Damage Per level							4	Damage synergy									1				1	32	10		8	128	1						1						(((stat('smite'.accr)+stat('hsbonus'.accr)+stat('item_normaldamage'.accr))*(101+((skill('Smite'.blvl)+skill('Zeal'.blvl))*par8)+ln34))*(100+(stat('ex_attacks'.accr)*4))/100)																						5	20	0
Blessed Aim	108		blessed aim		65																		73731	blessedaim	blessedaim		ln12	item_tohit_percent	ln34																	penetrate			item_tohit_percent	skill('Blessed Aim'.blvl) * par8																																																																												1	1	6		none														xx																														1	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	75	Attack Rating % baseline	15	Attack Rating % per level							5	Attack Rating % passive synergy									1								8																																				5	20	0
Clear Ailment	109	pal	clear ailment		65																		73731	cleansing	cleansing		ln12	item_poisonlengthresist	(blvl==10)?100:(dm34)	curse_resistance	(blvl==10)?100:(dm34)	item_halffreezeduration	(blvl==10)?0:1	item_cannotbefrozen	(blvl==10)?1:0																																																																																												1	3		none														xx																														1	10								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	30	Poison Length % Reduction Min	90	Poison Length % Reduction Max																	1								8																																				5	20	0
Confrontation	110	pal	confrontation		71																		34179		taunt			item_tohit_percent	"-(((110 * (lvl-1)) * (par2 - par1)) / (100 * (lvl + 6)) + par1)"	damagepercent	-dm34+(stat('ex_attacks'.accr)*10)	damageresist	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"	toblock	(blvl==20)?(-40):0																																																										1	paladin_zeal																																	1	0		none												SC	SC	S1				1				1												1										1	20								1						1	1					1	8	4	0	1	1																						10	Monster Attack Rating % baseline	80	Monster Attack Rating % per level	15	Monster Damage % minimum	90	Monster Damage %max	5	Enemy DR % Min	90	Enemy DR % Max													1								8																																				5	20	0
Vengeance	111	pal	vengeance	35	2																																																																																																																										1	3		h2h		mele										A1	A1	xx				1		1	1								1															12	20								1						1	1					1	6	16	1	1	1										(stat('salvationcheck'.accr)==1)?(ln12+((blvl==20)?25:0)+skill('Holy Fire'.blvl)*par7):(ln12+((blvl==20)?25:0)+(max(stat('fireresist'.accr)/par8,0))+skill('Holy Fire'.blvl)*par7)	Fire Damage %	(stat('salvationcheck'.accr)==1)?(ln12+((blvl==20)?25:0)+skill('Holy Freeze'.blvl)*par7):(ln12+((blvl==20)?25:0)+(max(stat('coldresist'.accr)/par8,0))+skill('Holy Freeze'.blvl)*par7)	Cold Damage %	(stat('salvationcheck'.accr)==1)?(ln12+((blvl==20)?25:0)+skill('Holy Shock'.blvl)*par7):(ln12+((blvl==20)?25:0)+(max(stat('lightresist'.accr)/par8,0))+skill('Holy Shock'.blvl)*par7)	Lightning Damage %							70	Damage % baseline	6	Damage % per level									8	Damage synergy	10	Damage synergy divisor									1	20	10						8	128														cold														30	15	15	15				5	20	0
Blessed Hammer	112	pal	blessed hammer	28	73													blessedhammerx						clawmastery		10		item_fastercastrate	(blvl==20)?20:0																																																																																35						blessedhammerx												1	2		none												SC	SC	xx																				1										12	20								1						1	1					1	6	20	1	1	1										par1	Damage % from Concentration (in 8ths)											8	Damage % from Concentration (in 8ths)													14	Damage synergy									1								7		12	8	10	12	13	14	16	8	10	12	13	14	(((skill('Without Hesitation'.blvl)+skill('Judge Not'.blvl))*par8)*(100+(stat('ex_attacks'.accr)*4))/100)	mag	12	8	10	12	13	14	16	8	10	12	13	14	(((skill('Without Hesitation'.blvl)+skill('Judge Not'.blvl))*par8)+stat(357.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Concentration	113	pal	concentration		65																		73731	concentration	concentration		ln12	damagepercent	ln34	skill_concentration	min(dm56,50)	passive_critical_strike	(blvl==20)?15:0																																																																																													1	1	6		none														xx																														12	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	50	Damage % baseline	20	Damage % per level	10	% chance for uninterruptible attack	40	% chance for uninterruptible attack													1								8																																				5	20	0
Holy Freeze	114	pal	holy freeze		81																		303747	holywind	holywindcold		ln12	velocitypercent	"-(((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3)"	attackrate	"-(((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3)"	other_animrate	"-(((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3)"																coldmindam	enms*par5/256	coldmaxdam	exms*par5/256	passive_cold_mastery	(blvl==20)?15:0																																																																									1	8		none														xx																														12	20								1						0	1					0	8	0	0	1	1	1		(100*((blvl==20)?38:75))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			6	Radius baseline	1	Radius per level	25	Slow % Min	60	Slow % Max	3	Damage multiplier added to Attacks	150	"Area Damage % Range Scaling (from 100% to X% damage, based on how close the enemy position is to the caster)"	7	Damage synergy	15	Damage synergy									1				16385				8															cold	2	1	2	6	8	10	3	1	2	6	8	10	((skill('Vengeance'.blvl)*par8+skill('Consecrated Ground'.blvl)*par7)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Without Hesitation	115	pal	without hesitation	31	67																																																																																								1	paladin_charge														25	37																		1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1															1	20								1				((blvl==20)?0:(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	8	0		1										(ln34+skill('Faithful Follower'.blvl)*par8+(skill('Shield Glare'.blvl)+skill('Blessed Hammer'.blvl))*par7)+(stat('ex_attacks'.accr)*10)	Damage %	par1	Velocity %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					300	Velocity %			60	Damage % baseline	30	Damage % per level					10	Damage Synergy	15	Damage synergy									1	50	15						8	128																																			5	20	0
Shield Glare	116	pal	shield glare		68													shieldglare					34179		dimvision	250		damageresist	"-ln34"	item_pierce	100	toblock	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"																																																																												25						shieldglare	shieldglare	glarecast										1	0		none		shld										SQ	A1	xx	12			1																										18	10								2	holyshield			(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	0	0	1	1										(blvl==10)?6:((lvl<5)?4:5)+min(stat('ex_missiles'.accr),3)	# of Missiles created	0	Missile Activation Frame	0	# of missiles that can trigger item modifier events	ln12	State Duration					100	Blind Duration Baseline	10	Blind Duration per level	5	Damage Resist reduction baseline	2	Damage Resist reduction per level	10	Block % chance Min	40	Block % chance Max													1								8																																				5	20	0
Holy Shield	117	pal	holy shield	36	18																			holyshield		ln12*(100+(stat('buff_length_modifier'.accr)))/100		toblock	(blvl==20)?15:0+(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)+skill('Thorns'.blvl)		ln34+skill('Vengeance'.blvl)*par8	hsbonus	lvl*4																																																													paladin_holyshield																																	1	3		none		shld										SC	SC	xx															1															1	20								1				(100*500)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	6	30	1	1	1										ln34+skill('Vengeance'.blvl)*par8	Armor %											1000	Duration baseline	250	Duration per level	25	Armor % baseline	15	Armor % per level	10	Block % chance Min	35	Block % chance Max			15	Armor synergy									1								8		4	4	4	4	4	4	4	4	4	4	4	4	stat('ex_attacks'.accr)*4																						5	20	0
