code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
pierce-immunity-all	1	1	item_pierce_cold_immunity			1	item_pierce_fire_immunity			1	item_pierce_light_immunity			1	item_pierce_poison_immunity			1	item_pierce_damage_immunity			1	item_pierce_magic_immunity												0
charge-noconsume	1	1	item_charge_noconsume																											+#% chance for finishing moves to not consume charges		Min %	Max %		0
Weight-Tracker	1	17	Weight_Tracker																															none	0
Weight-CapacityBase	1	17	Weight_CapacityBase																															none	0
Weight-Capacity	1	17	Weight_Capacity																															none	0
FireBall-Radius	1	17	fireball_radius																																0
JB-Rare	1	17	JB_Rare																															none	0
PB-Rejuv	1	17	PB_Rejuv																															none	0
Kill-Bonus	1	17	KillBonus																															none	0
Kill-BonusDisplay	1	17	KillBonus_Display																															none	0
ar/enr	1	17	item_tohit_perenr																												(8ths)				0
randclassskill1	1	36	item_addclassskills		1																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
randclassskill2	1	36	item_addclassskills		2																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
randclassskill4	1	36	item_addclassskills		4																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
randclassskill5	1	36	item_addclassskills		5																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
bone-syn	1	17	skill_bonesyn																															none	0
buff-length	1	17	buff_length_modifier																															none	0
skelcommand	1	17	skel_commander																															none	0
celestial	1	17	Celestial_Aid																															none	0
Weight-Display	1	17	Weight_Display																															none	0
