skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
polarity shift	2	1	3	2	42		skPolarityShift	sdPolarityShift	sdPolarityShift	skPolarityShift																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillNegMaxLightRes		ast2		74	StrSkillLightRes		ast3		74	StrSkillLightningDamagePercent		ast1							36	StrCooldown		(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25	74	StrSkillMaxLightMeleeDmg		ast4																	40	MasteryBonusNS		7		18	StrMastPolarityShift1				18	StrMastPolarityShift2																										0
energy shield	2	3	3	2	44		skEnergyShield	sdEnergyShield	sdEnergyShield	skEnergyShield																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill41		"min(edmn,95)"		74	StrSkillManaKill		pst2		74	StrManaPerHit		pst1												36	StrSkill3		usmc	256	36	StrSkillManaPerHP		clc2	16																40	Sksyn	skEnergyShield	2		76	BonusEnergyShield	skAstralProjection	1		40	MasteryBonus		7		18	StrMastEnergyShield																					0
blizzard	3	3	2	3	46		skBlizzard	sdBlizzard	sdBlizzard	skBlizzard	5													blizzardcenter			36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	75	StrSkill4		pnma	pxma											36	StrSkillDurationSingular	StrSkill20	miss('blizzardcenter'.rang)	25	36	StrCooldown		(stat('Celestial_Aid'.accr)>=1)?0:((100*45)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25																40	Sksyn	skBlizzard	2		76	Colddplev	skIceBolt	par8		76	Colddplev	skAbominable	par8		76	Colddplev	skColdCrippler	par8		40	MasteryBonus		7		18	StrMastBlizzard											0
corpse flower	3	3	3	3	48		skCorpseFlower	sdCorpseFlower	sdCorpseFlower	skCorpseFlower																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkillCorpseFlower	rng*2	3																																														40	MasteryBonusNS		7		18	StrMastCorpseFlower																															0
fire mastery	1	4	1	1	50		skFireMastery	sdFireMastery	sdFireMastery	skFireMastery																	74	StrSkillMaxFireRes		pst3		74	StrSkill88		pst2		74	StrSkillFireDamagePercent		pst1																																										40	MasteryBonusNS		7		18	StrMastFireMastery																															0
hydra	1	3	2	1	52	13	skHydra	sdHydra	sdHydra	skHydra	5																36	StrSkill3		(usmc<=2815)?2560:usmc	256	75	StrSkill113		enma	exma																					36	StrSkillDurationSingular	StrSkill20	clc1	25	36	StrCooldown		((blvl==20)?0:(100*40)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25																40	Sksyn	skHydra	2		76	Firedplev	skFirestorm	par8		76	Firedplev	skFireBall	par8		40	MasteryBonus		7		18	StrMastNoCDR																0
lightning mastery	2	4	1	2	54		skLightningMastery	sdLightningMastery	sdLightningMastery	skLightningMastery																	74	StrSkillMaxLightRes		pst3		74	StrSkill88		pst2		74	StrSkillLightningDamagePercent		pst1																																										40	MasteryBonusNS		7		18	StrMastLightningMastery																															0
frozen orb	3	3	1	3	56	17	skFrozenOrb	sdFrozenOrb	sdFrozenOrb	skFrozenOrb	5																36	StrSkill3		(usmc<=5375)?5120:usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																36	StrCooldown		((blvl==20)?0:(100*40)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25																					40	Sksyn	skFrozenOrb	2		76	Colddplev	skIceBolt	par8		76	Colddplev	skColdCrippler	par7		40	MasteryBonus		7		18	StrMastNoCDR																0
cold mastery	3	4	1	3	58		skColdMastery	sdColdMastery	sdColdMastery	skColdMastery																	74	StrSkillMaxColdRes		pst3		74	StrSkill88		pst2		74	StrSkillColdDamagePercent		pst1																																										40	MasteryBonusNS		7		18	StrMastColdMastery																															0
amplify damage	1	1	1	1	0		skAmplifyDamage	sdAmplifyDamage	sdAmplifyDamage	skAmplifyDamage																	36	StrSkill3		usmc	256	74	StrSkill25		"-(100-ast2)"		74	StrSkillDamageResist		ast1																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		((blvl==20)?0:(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25											40	MasteryBonusNS		7		18	StrMastNoCDR																															0
teeth	2	1	2	2	2		skTeeth	sdTeeth	sdTeeth	skTeeth	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkill28		clc1		74	StrSkill24		ast1												18	StrKnockback50																								40	Sksyn	skTeeth	2		76	Magdplev	skBoneSpear	par8		76	Magdplev	skBonePrison	par8		76	Magdplev	skBoneSpirit	par8		18	StrSkillExtraMissile				40	MasteryBonus		7		18	StrMastTeeth						0
bone armor	2	2	1	2	4		skBoneArmor	sdBoneArmor	sdBoneArmor	skBoneArmor																	36	StrSkill3		usmc	256	74	StrSkill40		ast2/256		74	StrSkillBoneDmg		ast3																	36	StrSkillDurationSingular	StrSkill20	len	25																					40	Sksyn	skBoneArmor	2		76	Damabsplev	skBonePrison	par8		40	MasteryBonus		7		18	StrMastBoneArmor																					0
summon mastery	3	4	1	3	6		skSummonMastery	sdSummonMastery	sdSummonMastery	skSummonMastery																	74	StrSkillGolemHP		lvl*par7		74	StrSkillGolemAR		lvl*par8		74	StrSkillSleketonMasteryMonsterDamage		lvl*par4		74	StrSkill97		lvl*par3		74	StrSkillSleketonMasterySkeletonDamage		lvl*par2		74	StrSkill95		lvl*par1		74	StrSkillNecSummonVelocity		dm56		74	StrSkillSummonResistAll		pst1																	40	MasteryBonusNS		7		18	StrMastSummonMastery																															0
raise skeleton	3	1	1	3	8		skRaiseSkeleton	sdRaiseSkeleton	sdRaiseSkeleton	skRaiseSkeleton																	36	StrSkill94	StrSkill44	(pets>=1)?pets:1		34	StrSkill4				74	StrSkillDefense		ast3		74	StrSkillDamagePercent		ast1		74	StrSkillAttackRating		ast2		13	StrSkill42		clc1	skill('Summon Mastery'.lvl) * skill('Summon Mastery'.par1)	36	StrSkill3		usmc	256																					40	Sksyn	skRaiseSkeleton	2		75	StrSkillExtraSummon		1	1	40	MasteryBonus		7		18	StrMastRaiseSkeleton																					0
dim vision	1	1	3	1	10		skDimVision	sdDimVision	sdDimVision	skDimVision																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25																36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																40	MasteryBonusNS		7		18	StrMastDecrepify																															0
weaken	1	2	2	1	12		skWeaken	sdWeaken	sdWeaken	skWeaken																	36	StrSkill3		usmc	256	74	StrSkillDSandCB		ast3		74	StrSkill57		ast2		74	StrSkill38		ast1												36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastWeaken																															0
blight strike	2	1	3	2	14		skBlightStrike	sdBlightStrike	sdBlightStrike	skBlightStrike	23	clc1											2				36	StrSkill3		usmc	256	74	StrSkill22		toht		36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																																				40	Sksyn	skBlightStrike	2		76	Poisdplev	skPoisonNova	par8		76	Poisdplev	skPoisonExplosion	par8		40	MasteryBonus		7		18	StrMastBlightStrike																0
corpse explosion	2	2	2	2	16		skCorpseExplosion	sdCorpseExplosion	sdCorpseExplosion	skCorpseExplosion																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																					75	StrSkill46		clc1	clc2																					40	MasteryBonusNS		7		18	StrMastCorpseExplosion																															0
clay golem	3	1	2	3	18		skClayGolem	sdClayGolem	sdClayGolem	skClayGolem																	36	StrSkill3		usmc	256	74	StrCrushingBlow		ast2		74	Cgslow		ast1		34	StrSkill4														74	StrSkillDefense		100+pst4		74	StrSkillAttackRating		40+pst2		13	StrSkill42		clc1		74	StrSkillMaxGolems		pets							40	Sksyn	skClayGolem	2		18	skSummonMastery				76	Hpplev	skBloodGolem	skill('Blood Golem'.par8)		76	StrSkillDefensePerLevelFlat	skIronGolem	skill('Iron Golem'.par8)		76	Damplev	skFireGolem	skill('Fire Golem'.par8)		40	MasteryBonus		7		18	StrMastClayGolem						0
iron maiden	1	3	2	1	20		skIronMaiden	sdIronMaiden	sdIronMaiden	skIronMaiden																	36	StrSkill3		usmc	256	74	StrSkill55		clc1		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastIronMaiden																															0
terror	1	2	3	1	22		skTerror	sdTerror	sdTerror	skTerror																	36	StrSkill3		usmc	256	36	StrSkillFleeDistance		ln56*2	3																					36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																40	MasteryBonusNS		7		18	StrMastDecrepify																															0
drain essence	2	3	2	2	24		skDrainEssence	sdDrainEssence	sdDrainEssence	skDrainEssence	7																74	StrManaPerHit		5+lvl		74	StrLifePerHit		5+lvl		74	StrSkillDamageFlat		pnma																																										40	MasteryBonusNS		7		18	StrMastDrainEssence																															0
raise skeletal archer	3	3	1	3	26		skRaiseArcher	sdRaiseArcher	sdRaiseArcher	saRaiseArcher																	74	StrSkillDefense		25+ast1		74	StrSkillAttackRating		25+ast5		74	StrSkillMovementSpeed		ast3		74	StrSkill106		ast2		74	StrSkillElementalDamage		lvl*4		75	StrSkill4		10+(pst2*ast4)/256	15+(pst2*ast4)/256	36	StrSkill3		usmc	256	74	StrArchers		pets		74	StrSkill42		pst1/256												40	Sksyn	skRaiseArcher	2		75	StrSkillExtraSummon		3	5	40	MasteryBonus		7		18	StrMastRaiseSkeletalArcher																					0
raise skeletal mage	3	2	1	3	28		skRaiseMage	sdRaiseMage	sdRaiseMage	skRaiseMage																	36	StrSkill43a	StrSkill44a	pets		13	StrSkill42			pst1/256	74	StrSkillDefense		ast1																	36	StrSkill3		usmc	256																					40	Sksyn	skRaiseMage	2		75	StrSkillExtraSummon		1	1	40	MasteryBonus		7		18	StrMastRaiseSkeletalMage																					0
confuse	1	3	3	1	30		skConfuse	sdConfuse	sdConfuse	skConfuse																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25																36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																40	MasteryBonusNS		7		18	StrMastDecrepify																															0
life tap	1	4	1	1	32	25	skLifeTap	sdLifeTap	sdLifeTap	skLifeTap																	36	StrSkill3		usmc	256	74	StrSkill79		clc1																						36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastLifeTap																															0
poison explosion	2	2	3	2	34		skPoisonExplosion	sdPoisonExplosion	sdPoisonExplosion	skPoisonExplosion	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkillDecayDamage		pnma	pxma	75	StrSkill8		enms*edln/256	exms*edln/256																36	StrSkill3		usmc	256																					40	Sksyn	skPoisonExplosion	2		76	Poisdplev	skBlightStrike	(blvl==20)?par6:par8		76	Poisdplev	skPoisonNova	(blvl==20)?par6:par8		76	Decayplev	skBonePrison	par7		40	MasteryBonus		7		18	StrMastPoisonExplosion											0
bone spear	2	1	1	2	36		skBoneSpear	sdBoneSpear	sdBoneSpear	skBoneSpear	5													bonesparklex			36	StrSkill3		usmc	256	75	StrSkillMagPerSec		"max(1,enma/8)"	"max(2,exma/8)"	75	StrSkill39		enma	exma																																									40	Sksyn	skBoneSpear	2		76	Magdplev	skTeeth	par8		76	Magdplev	skBoneSpirit	par8		76	Magdplev	skBonePrison	par8		40	MasteryBonus		7		18	StrMastBoneSpear											0
blood golem	3	2	2	3	38		skBloodGolem	sdBloodGolem	sdBloodGolem	skBloodGolem																	36	StrSkill3		usmc	256	34	StrSkill4				74	StrSkill80		dm12		74	ModStr3m		ast3		74	ModStr5k		ast2		74	ModStr2t		ast1		74	StrSkillDefense		120+pst4		74	StrSkillAttackRating		60+pst2		13	StrSkill42		clc1		74	StrSkillMaxGolems		pets							40	Sksyn	skBloodGolem	2		18	skSummonMastery				76	StrSkillAttackRatingPerLevelFlat	skClayGolem	skill('Clay Golem'.par8)		76	StrSkillDefensePerLevelFlat	skIronGolem	skill('Iron Golem'.par8)		76	Damplev	skFireGolem	skill('Fire Golem'.par8)		40	MasteryBonus		7		18	StrMastBloodGolem						0
unobstructed	1	2	1	1	40		skUnobstructed	sdUnobstructed	sdUnobstructed	skUnobstructed																	36	StrSkill3		usmc	256	74	StrSkillLowerEnemyHP		ast4		74	StrSkillReduceBlocking		ast2		74	StrSkillEnemyFHR		ast1												36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastUnobstructed																															0
decrepify	1	1	2	1	42		skDecrepify	sdDecrepify	sdDecrepify	skDecrepify																	36	StrSkill3		usmc	256	74	StrSkillMoveSpeed		ast2		74	StrSkillFCRandIAS		ast1																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastDecrepify																															0
bone prison	2	3	1	2	44		skBonePrison	sdBonePrison	sdBonePrison	skBonePrison																	36	StrSkill3		(usmc<=1535)?1280:usmc	256	13	StrSkill42		clc1																						36	StrCooldown		(100*250)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skBonePrison	2		76	Hpplev	skBoneArmor	par8		76	Hpplev	skDrainEssence	par8		40	MasteryBonus		7		18	StrMastBonePrison																0
final calling	3	3	2	3	46		skFinalCalling	sdFinalCalling	sdFinalCalling	skFinalCalling																	36	StrSkill3		usmc	256	74	StrSkillLifeDrain		ast1		74	StrSkillSkeleDamage		ast2		74	StrSkillSkeleMaxHp		ast5		74	StrSkillSkeleAttackSpeed		ast3																																40	MasteryBonusNS		7		18	StrMastFinalCalling																															0
iron golem	3	1	3	3	48		skIronGolem	sdIronGolem	sdIronGolem	skIronGolem																	36	StrSkill3		usmc	256	74	StrSkillIronThorns		ast1		34	StrSkill4				74	StrSkillDamagePercent		pst3												74	StrSkillDefense		140+pst4		74	StrSkillAttackRating		80+pst2		13	StrSkill42		clc1		74	StrSkillMaxGolems		pets							40	Sksyn	skIronGolem	2		18	skSummonMastery				76	StrSkillAttackRatingPerLevelFlat	skClayGolem	skill('Clay Golem'.par8)		76	Hpplev	skBloodGolem	skill('Blood Golem'.par8)		76	Damplev	skFireGolem	skill('Fire Golem'.par8)		40	MasteryBonus		7		18	StrMastIronGolem						0
lower resist	1	3	1	1	50		skLowerResist	sdLowerResist	sdLowerResist	skLowerResist																	36	StrSkill3		usmc	256	74	StrSkill54		ast1		74	StrSkillReduceMagRes		ast5																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastLowerResist																															0
poison nova	2	3	3	2	52		skPoisonNova	sdPoisonNova	sdPoisonNova	skPoisonNova	5																36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																74	StrSkillPiercePoison		ast1																						40	Sksyn	skPoisonNova	2		76	Poisdplev	skBlightStrike	par8		76	Poisdplev	skPoisonExplosion	par8		40	MasteryBonus		7		18	StrMastPoisonNova																0
bone spirit	2	4	1	2	54		skBoneSpirit	sdBoneSpirit	sdBoneSpirit	skBoneSpirit	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																																														40	Sksyn	skBoneSpirit	2		76	Magdplev	skTeeth	par8		76	Magdplev	skBoneSpear	par8		76	Magdplev	skBonePrison	par8		40	MasteryBonus		7		18	StrMastBoneSpirit											0
fire golem	3	2	3	3	56		skFireGolem	sdFireGolem	sdFireGolem	skFireGolem																	36	StrSkill3		usmc	256	75	StrSkillHolyFireDamageRange		sklvl('GolemFire'.ln56.edmn)	sklvl('GolemFire'.ln56.edmx)	41	StrSkill5		edmn+sklvl('GolemFire'.ln56.edmn)*sklvl('GolemFire'.ln56.par5)	edmx+sklvl('GolemFire'.ln56.edmx)*sklvl('GolemFire'.ln56.par5)	74	StrSkill103		dm12		74	StrSkillDamagePercent		pst3		74	Moditemenresfiresk		ast5		74	StrSkillDefense		200+pst4		74	StrSkillAttackRating		120+pst2		13	StrSkill42		clc1		74	StrSkillMaxGolems		pets							40	Sksyn	skFireGolem	2		18	skSummonMastery				76	StrSkillAttackRatingPerLevelFlat	skClayGolem	skill('Clay Golem'.par8)		76	Hpplev	skBloodGolem	skill('Blood Golem'.par8)		76	StrSkillDefensePerLevelFlat	skIronGolem	skill('Iron Golem'.par8)		40	MasteryBonus		7		18	StrMastFireGolem						0
revive	3	3	3	3	58		skRevive	sdRevive	sdRevive	skRevive																	36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ast1		74	StrSkillLifePercent		clc1		74	StrSkillMonstersCount		"min(lvl,20)+stat('sum_ex'.accr)"												36	StrSkillDurationSingular	StrSkill20	clc2	25																					40	Sksyn	skRevive	2		75	StrSkillExtraSummon		1	1	40	MasteryBonus		7		18	StrMastRevive																					0
sacrifice	1	1	2	1	0		skSacrifice	sdSacrifice	sdSacrifice	skSacrifice	7	clc1											1				74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																						74	StrSkill47		clc2																						40	Sksyn	skSacrifice	2		76	Damplev	skConfrontation	par8		76	Damplev	skConsecratedGround	par8		76	RedSelfDmg	skHearMyPrayers	50		40	MasteryBonus		7		18	StrMastSacrifice1				18	StrMastSacrifice2						0
smite	1	1	1	1	2		skSmite	sdSmite	sdSmite	skSmite	10												1				74	StrSkillBlockRate		ast3		74	StrSkillBlockChance		ast2		74	StrSkill21		-15		36	StrSkillStunLengthSingular	StrSkill48	clc2	25	74	StrSkillDamagePercent		clc1																																40	Sksyn	skSmite	2		76	RedBlockPen	skShieldGlare	1		40	MasteryBonus		7		18	StrMastSmite																					0
hold fast	3	2	3	2	4		skHoldFast	sdHoldFast	sdHoldFast	skHoldFast																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillRadiusSingular	StrSkill18	rng*2	3																74	StrSkill21		ast1		74	StrSkillFHR		ast2		36	StrCooldown		(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	MasteryBonusNS		7		18	StrMastHoldFast																															0
hear my prayers	3	3	3	3	6		skHearMyPrayers	sdHearMyPrayers	sdHearMyPrayers	saHearMyPrayers																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillReplenishLife		ast1*25	256	74	EskillLifeSteal		ast2		74	StrSkillIASandFCR		ast3							36	StrCooldown		(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skHearMyPrayers	2		76	LifeStealatMax	skSacrifice	5		76	HPRegenatMax	skFistOfTheHeavens	10		40	MasteryBonus		7		18	StrMastHearMyPrayers																0
consecrated ground	2	3	3	3	8		skConsecratedGround	sdConsecratedGround	sdConsecratedGround	saConsecratedGround	5																74	StrSkill20		7		74	StrSkillAbsorbMagic		ast5		36	StrSkillRadiusSingular	StrSkill18	20	3	75	StrSkillMagPerSec		enma	exma	74	StrSkillIASandFCR		dm56		75	StrSkillMagicDamage		ast2	ast4	36	StrCooldown		((blvl==20)?0:(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25	74	StrSkillConcTraps		pets																	40	Sksyn	skConsecratedGround	2		76	Magdplev	skHolyBolt	par8		75	StrSkillExtraSummon		1	2	40	MasteryBonus		7		18	StrMastNoCDR																0
holy bolt	1	1	3	1	10		skHolyBolt	sdHolyBolt	sdHolyBolt	skHolyBolt	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma																					74	StrSkillReleasesBolts		clc1		74	DamageNotUndeadDemon		50		74	DamageUndeadDemon		100												40	Sksyn	skHolyBolt	2		76	Magdplev	skHoldFast	par8		76	Magdplev	skHearMyPrayers	par8		76	Magdplev	skActiveHS	4		18	StrSkillExtraMissile				40	MasteryBonus		7		18	StrMastHolyBolt						0
holy fire	2	1	1	2	12		skHolyFire	sdHolyFire	sdHolyFire	skHolyFire	5																36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill5		enma	exma	75	StrSkillFireDamageToYourAttack		pst1	pst2																74	StrSkillNoFreeze		pst3		36	PulseLength		(100*((blvl==20)?50:100))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																40	Sksyn	skHolyFire	2		76	Firedplev	skVengeance	par8		76	Firedplev	skJudgeNot	par7		40	MasteryBonus		7		18	StrMastHolyFire				18	StrSkillNoFreeze											0
thorns	2	1	2	2	14		skThorns	sdThorns	sdThorns	skThorns																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill55		ast1		74	StrSkill21		ast2		74	StrSkillDamageResist		ast3		74	ModStr1v		ast4																																40	MasteryBonusNS		7		18	StrMastThorns																															0
chance for glory	3	2	2	3	48		skChanceForGlory	sdChanceForGlory	sdChanceForGlory	saChanceForGlory																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrCrushingBlow		ast1		74	StrSkillDeadlyStrike		ast2		74	StrSkillDamagePercent		ast3												36	StrCooldown		(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	MasteryBonusNS		7		18	StrMastChanceForGlory																															0
judge not	2	2	3	3	18		skJudgeNot	sdJudgeNot	sdJudgeNot	skJudgeNot																	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill4		enma	exma	74	ESkillShoots		par1																	74	StrSkillArbitrators		pets		36	StrSkill3		usmc	256																40	Sksyn	skJudgeNot	2		76	Magdplev	skBlessedHammer	par8		76	Magdplev	skShieldToss	par8		75	StrSkillExtraSummon		1	5	40	MasteryBonus		7		18	StrMastJudgeNot											0
zeal	1	2	2	1	20		skZeal	sdZeal	sdZeal	skZeal	7	clc2											2				36	StrSkill3		usmc	256	75	StrSkillConvMag		clc4		74	StrSkillDamagePercent		clc2		74	StrSkill22		toht		74	StrSkill11		clc1																																40	Sksyn	skZeal	2		76	Damplev	skSmite	par8		76	Damplev	skConfrontation	par8		76	Convphy2magplev2	skHolyBolt	par7		40	MasteryBonus		7		18	StrMastZeal											0
shield toss	1	4	1	1	26		skShieldToss	sdShieldToss	sdShieldToss	skShieldToss	5												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		lvl*15		74	StrSkill22		toht		36	StrSkillTargetSearch		rng*2	3	75	StrSkill4		pnma	(pxma+1)						74	StrSkill11		clc1																						40	Sksyn	skShieldToss	2		76	Damplev	skSmite	par8		76	Damplev	skZeal	par8		76	AddTargets	skShieldGlare	2		40	MasteryBonus		7		18	StrMastShieldToss											0
devotion rewarded	3	3	2	2	24		skDevotionRewarded	sdDevotionRewarded	sdDevotionRewarded	saDevotionRewarded																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillKills		stat('pali_killtrack'.accr)		74	StrSkillDamagePercent		ast1		74	StrSkillMovementSpeed		ast2		74	StrSkill106		ast3		74	KillSomething		(stat('pali_killtrack'.accr)<4)?1:0		36	StrCooldown		(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skDevotionRewarded	2		74	Damageperkill		(blvl==0)?20:((blvl==10)?(20*blvl+75):(20*blvl))		74	AttackSpeedperkill		(blvl==0)?5:(5*blvl)		74	MoveSpeedperkill		(blvl==0)?4:(4*blvl)		40	MasteryBonus		7		18	StrMastDevotionRewarded											0
clear ailment	3	1	3	3	38		skClearAilment	sdClearAilment	sdClearAilment	skClearAilment																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillPoisCurseLen		ast2		74	StrSkillHalfFreeze		ast3*50		74	StrSkillCannotBeFrozen		ast4																																					40	MasteryBonusNS		7		18	StrMastClearAilment																															0
confrontation	2	1	3	3	28		skConfrontation	sdConfrontation	sdConfrontation	skConfrontation																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillBlockChance		ast4		75	StrSkillReducePhysicalResImmunityPartial		ast3	ast3/5	74	StrSkill38		-ast2		74	StrSkillEnemyAR		ast1																											40	MasteryBonusNS		7		18	StrMastConfrontation																															0
