description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Shield Dye - Yellow -> Red		1				100	18	368	6		2	shld	Z56						useitem				CD-Red			1	1	state		217	1	1	CD-Tracker			-2	-2	CD-Yellow			-1	-1	state		219	-1	-1																																																											0
Shield Dye - Yellow -> Green		1				100	18	368	6		2	shld	Z57						useitem				CD-Green			1	1	state		218	1	1	CD-Tracker			-1	-1	CD-Yellow			-1	-1	state		219	-1	-1																																																											0
Shield Dye - Yellow -> Clear		1				100	18	368	6		2	shld	Z52						useitem				CD-Yellow			-1	-1	state		219	-1	-1	CD-Tracker			-6	-6																																																																					0
Shield Dye - Purple -> White		1				100	18	368	7		2	shld	Z53						useitem				CD-White			1	1	state		214	1	1	CD-Tracker			-6	-6	CD-Purple			-1	-1	state		220	-1	-1																																																											0
Shield Dye - Purple -> Black		1				100	18	368	7		2	shld	Z54						useitem				CD-Black			1	1	state		215	1	1	CD-Tracker			-5	-5	CD-Purple			-1	-1	state		220	-1	-1																																																											0
Shield Dye - Purple -> Blue		1				100	18	368	7		2	shld	Z55						useitem				CD-Blue			1	1	state		216	1	1	CD-Tracker			-4	-4	CD-Purple			-1	-1	state		220	-1	-1																																																											0
Shield Dye - Purple -> Red		1				100	18	368	7		2	shld	Z56						useitem				CD-Red			1	1	state		217	1	1	CD-Tracker			-3	-3	CD-Purple			-1	-1	state		220	-1	-1																																																											0
Shield Dye - Purple -> Green		1				100	18	368	7		2	shld	Z57						useitem				CD-Green			1	1	state		218	1	1	CD-Tracker			-2	-2	CD-Purple			-1	-1	state		220	-1	-1																																																											0
Shield Dye - Purple -> Yellow		1				100	18	368	7		2	shld	Z58						useitem				CD-Yellow			1	1	state		219	1	1	CD-Tracker			-1	-1	CD-Purple			-1	-1	state		220	-1	-1																																																											0
Shield Dye - Purple -> Clear		1				100	18	368	7		2	shld	Z52						useitem				CD-Purple			-1	-1	state		220	-1	-1	CD-Tracker			-7	-7																																																																					0
Armor Dye - Normal -> White		1				100	18	368	0		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			1	1																																																																					0
Armor Dye - Normal -> Black		1				100	18	368	0		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			2	2																																																																					0
Armor Dye - Normal -> Blue		1				100	18	368	0		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			3	3																																																																					0
Armor Dye - Normal -> Red		1				100	18	368	0		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			4	4																																																																					0
Armor Dye - Normal -> Green		1				100	18	368	0		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			5	5																																																																					0
Armor Dye - Normal -> Yellow		1				100	18	368	0		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			6	6																																																																					0
Armor Dye - Normal -> Purple		1				100	18	368	0		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			7	7																																																																					0
Armor Dye - White -> Black		1				100	18	368	1		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			1	1	CD-White			-1	-1	state		221	-1	-1																																																											0
Armor Dye - White -> Blue		1				100	18	368	1		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			2	2	CD-White			-1	-1	state		221	-1	-1																																																											0
Armor Dye - White -> Red		1				100	18	368	1		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			3	3	CD-White			-1	-1	state		221	-1	-1																																																											0
Armor Dye - White -> Green		1				100	18	368	1		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			4	4	CD-White			-1	-1	state		221	-1	-1																																																											0
Armor Dye - White -> Yellow		1				100	18	368	1		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			5	5	CD-White			-1	-1	state		221	-1	-1																																																											0
Armor Dye - White -> Purple		1				100	18	368	1		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			6	6	CD-White			-1	-1	state		221	-1	-1																																																											0
Armor Dye - White -> Clear		1				100	18	368	1		2	tors	Z52						useitem				CD-White			-1	-1	state		221	-1	-1	CD-Tracker			-1	-1																																																																					0
Armor Dye - Black -> Blue		1				100	18	368	2		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			1	1	CD-Black			-1	-1	state		222	-1	-1																																																											0
Armor Dye - Black -> Red		1				100	18	368	2		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			2	2	CD-Black			-1	-1	state		222	-1	-1																																																											0
Armor Dye - Black -> Green		1				100	18	368	2		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			3	3	CD-Black			-1	-1	state		222	-1	-1																																																											0
Armor Dye - Black -> Yellow		1				100	18	368	2		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			4	4	CD-Black			-1	-1	state		222	-1	-1																																																											0
Armor Dye - Black -> Purple		1				100	18	368	2		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			5	5	CD-Black			-1	-1	state		222	-1	-1																																																											0
Armor Dye - Black -> White		1				100	18	368	2		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			-1	-1	CD-Black			-1	-1	state		222	-1	-1																																																											0
Armor Dye - Black -> Clear		1				100	18	368	2		2	tors	Z52						useitem				CD-Black			-1	-1	state		222	-1	-1	CD-Tracker			-2	-2																																																																					0
Armor Dye - Blue -> Red		1				100	18	368	3		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			1	1	CD-Blue			-1	-1	state		223	-1	-1																																																											0
Armor Dye - Blue -> Green		1				100	18	368	3		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			2	2	CD-Blue			-1	-1	state		223	-1	-1																																																											0
Armor Dye - Blue -> Yellow		1				100	18	368	3		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			3	3	CD-Blue			-1	-1	state		223	-1	-1																																																											0
Armor Dye - Blue -> Purple		1				100	18	368	3		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			4	4	CD-Blue			-1	-1	state		223	-1	-1																																																											0
Armor Dye - Blue -> White		1				100	18	368	3		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			-2	-2	CD-Blue			-1	-1	state		223	-1	-1																																																											0
Armor Dye - Blue -> Black		1				100	18	368	3		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			-1	-1	CD-Blue			-1	-1	state		223	-1	-1																																																											0
Armor Dye - Blue -> Clear		1				100	18	368	3		2	tors	Z52						useitem				CD-Blue			-1	-1	state		223	-1	-1	CD-Tracker			-3	-3																																																																					0
Armor Dye - Red -> Green		1				100	18	368	4		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			1	1	CD-Red			-1	-1	state		224	-1	-1																																																											0
Armor Dye - Red -> Yellow		1				100	18	368	4		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			2	2	CD-Red			-1	-1	state		224	-1	-1																																																											0
Armor Dye - Red -> Purple		1				100	18	368	4		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			3	3	CD-Red			-1	-1	state		224	-1	-1																																																											0
Armor Dye - Red -> White		1				100	18	368	4		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			-3	-3	CD-Red			-1	-1	state		224	-1	-1																																																											0
Armor Dye - Red -> Black		1				100	18	368	4		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			-2	-2	CD-Red			-1	-1	state		224	-1	-1																																																											0
Armor Dye - Red -> Blue		1				100	18	368	4		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			-1	-1	CD-Red			-1	-1	state		224	-1	-1																																																											0
Armor Dye - Red -> Clear		1				100	18	368	4		2	tors	Z52						useitem				CD-Red			-1	-1	state		224	-1	-1	CD-Tracker			-4	-4																																																																					0
Armor Dye - Green -> Yellow		1				100	18	368	5		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			1	1	CD-Green			-1	-1	state		225	-1	-1																																																											0
Armor Dye - Green -> Purple		1				100	18	368	5		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			2	2	CD-Green			-1	-1	state		225	-1	-1																																																											0
Armor Dye - Green -> White		1				100	18	368	5		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			-4	-4	CD-Green			-1	-1	state		225	-1	-1																																																											0
Armor Dye - Green -> Black		1				100	18	368	5		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			-3	-3	CD-Green			-1	-1	state		225	-1	-1																																																											0
Armor Dye - Green -> Blue		1				100	18	368	5		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			-2	-2	CD-Green			-1	-1	state		225	-1	-1																																																											0
Armor Dye - Green -> Red		1				100	18	368	5		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			-1	-1	CD-Green			-1	-1	state		225	-1	-1																																																											0
Armor Dye - Green -> Clear		1				100	18	368	5		2	tors	Z52						useitem				CD-Green			-1	-1	state		225	-1	-1	CD-Tracker			-5	-5																																																																					0
Armor Dye - Yellow -> Purple		1				100	18	368	6		2	tors	Z59						useitem				CD-Purple			1	1	state		227	1	1	CD-Tracker			1	1	CD-Yellow			-1	-1	state		226	-1	-1																																																											0
Armor Dye - Yellow -> White		1				100	18	368	6		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			-5	-5	CD-Yellow			-1	-1	state		226	-1	-1																																																											0
Armor Dye - Yellow -> Black		1				100	18	368	6		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			-4	-4	CD-Yellow			-1	-1	state		226	-1	-1																																																											0
Armor Dye - Yellow -> Blue		1				100	18	368	6		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			-3	-3	CD-Yellow			-1	-1	state		226	-1	-1																																																											0
Armor Dye - Yellow -> Red		1				100	18	368	6		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			-2	-2	CD-Yellow			-1	-1	state		226	-1	-1																																																											0
Armor Dye - Yellow -> Green		1				100	18	368	6		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			-1	-1	CD-Yellow			-1	-1	state		226	-1	-1																																																											0
Armor Dye - Yellow -> Clear		1				100	18	368	6		2	tors	Z52						useitem				CD-Yellow			-1	-1	state		226	-1	-1	CD-Tracker			-6	-6																																																																					0
Armor Dye - Purple -> White		1				100	18	368	7		2	tors	Z53						useitem				CD-White			1	1	state		221	1	1	CD-Tracker			-6	-6	CD-Purple			-1	-1	state		227	-1	-1																																																											0
Armor Dye - Purple -> Black		1				100	18	368	7		2	tors	Z54						useitem				CD-Black			1	1	state		222	1	1	CD-Tracker			-5	-5	CD-Purple			-1	-1	state		227	-1	-1																																																											0
Armor Dye - Purple -> Blue		1				100	18	368	7		2	tors	Z55						useitem				CD-Blue			1	1	state		223	1	1	CD-Tracker			-4	-4	CD-Purple			-1	-1	state		227	-1	-1																																																											0
Armor Dye - Purple -> Red		1				100	18	368	7		2	tors	Z56						useitem				CD-Red			1	1	state		224	1	1	CD-Tracker			-3	-3	CD-Purple			-1	-1	state		227	-1	-1																																																											0
Armor Dye - Purple -> Green		1				100	18	368	7		2	tors	Z57						useitem				CD-Green			1	1	state		225	1	1	CD-Tracker			-2	-2	CD-Purple			-1	-1	state		227	-1	-1																																																											0
Armor Dye - Purple -> Yellow		1				100	18	368	7		2	tors	Z58						useitem				CD-Yellow			1	1	state		226	1	1	CD-Tracker			-1	-1	CD-Purple			-1	-1	state		227	-1	-1																																																											0
Armor Dye - Purple -> Clear		1				100	18	368	7		2	tors	Z52						useitem				CD-Purple			-1	-1	state		227	-1	-1	CD-Tracker			-7	-7																																																																					0
																																																																																																										0
																																																																																																										0
---Enhance Weapons---																																																																																																										0
Enhance Item		1				100					2	weap,mag	Z60						useitem				str			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z61						useitem				dex			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z62						useitem				vit			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z63						useitem				enr			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z64						useitem				move			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z65						useitem				balance			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z66						useitem				blockrate			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z67						useitem				swing			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z68						useitem				cast			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z69						useitem				sum-hp			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z70						useitem				sum-dmg			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z71						useitem				sum-cr			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z72						useitem				incant-dur			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z73						useitem				incant-rad			1	1	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z74						useitem				res-curse-len			3	3	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z75						useitem				block			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z76						useitem				res-fire			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z77						useitem				res-cold			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z78						useitem				res-ltng			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z79						useitem				res-pois			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z80						useitem				att%			5	5	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z81						useitem				att			150	150	levelreq			4	4	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,mag	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,mag	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z02						useitem				ext-att			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z03						useitem				ext-missile			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z04						useitem				res-fire-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z05						useitem				res-cold-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z06						useitem				res-ltng-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z07						useitem				res-pois-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z08						useitem				pierce-fire			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z09						useitem				pierce-cold			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z10						useitem				pierce-ltng			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z11						useitem				pierce-pois			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z12						useitem				pierce-immunity-cold			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z13						useitem				pierce-immunity-fire			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z14						useitem				pierce-immunity-light			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z15						useitem				pierce-immunity-poison			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z16						useitem				pierce-immunity-damage			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z17						useitem				pierce-immunity-magic			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,mag	z18						useitem				pierce-immunity-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z60						useitem				str			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z61						useitem				dex			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z62						useitem				vit			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z63						useitem				enr			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z64						useitem				move			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z65						useitem				balance			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z66						useitem				blockrate			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z67						useitem				swing			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z68						useitem				cast			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z69						useitem				sum-hp			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z70						useitem				sum-dmg			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z71						useitem				sum-cr			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z72						useitem				incant-dur			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z73						useitem				incant-rad			1	1	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z74						useitem				res-curse-len			3	3	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z75						useitem				block			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z76						useitem				res-fire			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z77						useitem				res-cold			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z78						useitem				res-ltng			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z79						useitem				res-pois			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z80						useitem				att%			5	5	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z81						useitem				att			150	150	levelreq			4	4	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,rar	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,rar	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z02						useitem				ext-att			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z03						useitem				ext-missile			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z04						useitem				res-fire-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z05						useitem				res-cold-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z06						useitem				res-ltng-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z07						useitem				res-pois-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z08						useitem				pierce-fire			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
