Treasure Class	*MobType	*MobLvl	*Act	firstLadderSeason	lastLadderSeason	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Act 1 Cpot A						12	0	1						Blank	9	Potions	1																						0
Act 1 Cpot B						12	5	1						Blank	9	Potions	1																						0
Act 1 Cpot C						12	9	1						Blank	9	Potions	1																						0
Act 2 Cpot A						12	12	1						Blank	9	Potions	1																						0
Act 2 Cpot B						12	15	1						Blank	9	Potions	1																						0
Act 2 Cpot C						12	18	1						Blank	9	Potions	1																						0
Act 3 Cpot A						12	20	1						Blank	9	Potions	1																						0
Act 3 Cpot B						12	22	1						Blank	9	Potions	1																						0
Act 3 Cpot C						12	24	1						Blank	9	Potions	1																						0
Act 4 Cpot A						12	26	1						Blank	9	Potions	1																						0
Act 4 Cpot B						12	29	1						Blank	9	Potions	1																						0
Act 5 Cpot A						12	32	1						Blank	9	Potions	1																						0
Act 5 Cpot B						12	34	1						Blank	9	Potions	1																						0
Act 5 Cpot C						12	36	1						Blank	9	Potions	1																						0
Act 1 (N) Cpot A						12	38	1						Blank	9	Potions	1																						0
Act 1 (N) Cpot B						12	40	1						Blank	9	Potions	1																						0
Act 1 (N) Cpot C						12	41	1						Blank	9	Potions	1																						0
Act 2 (N) Cpot A						12	42	1						Blank	9	Potions	1																						0
Act 2 (N) Cpot B						12	44	1						Blank	9	Potions	1																						0
Act 2 (N) Cpot C						12	45	1						Blank	9	Potions	1																						0
Act 3 (N) Cpot A						12	46	1						Blank	9	Potions	1																						0
Act 3 (N) Cpot B						12	48	1						Blank	9	Potions	1																						0
Act 3 (N) Cpot C						12	50	1						Blank	9	Potions	1																						0
Act 4 (N) Cpot A						12	51	1						Blank	9	Potions	1																						0
Act 4 (N) Cpot B						12	54	1						Blank	9	Potions	1																						0
Act 5 (N) Cpot A						12	57	1						Blank	9	Potions	1																						0
Act 5 (N) Cpot B						12	60	1						Blank	9	Potions	1																						0
Act 5 (N) Cpot C						12	62	1						Blank	9	Potions	1																						0
Act 1 (H) Cpot A						12	63	1						Blank	9	Potions	1																						0
Act 1 (H) Cpot B						12	66	1						Blank	9	Potions	1																						0
Act 1 (H) Cpot C						12	68	1						Blank	9	Potions	1																						0
Act 2 (H) Cpot A						12	69	1						Blank	9	Potions	1																						0
Act 2 (H) Cpot B						12	71	1						Blank	9	Potions	1																						0
Act 2 (H) Cpot C						12	72	1						Blank	9	Potions	1																						0
Act 3 (H) Cpot A						12	74	1						Blank	9	Potions	1																						0
Act 3 (H) Cpot B						12	75	1						Blank	9	Potions	1																						0
Act 3 (H) Cpot C						12	77	1						Blank	9	Potions	1																						0
Act 4 (H) Cpot A						12	78	1						Blank	9	Potions	1																						0
Act 4 (H) Cpot B						12	80	1						Blank	9	Potions	1																						0
Act 5 (H) Cpot A						12	81	1						Blank	9	Potions	1																						0
Act 5 (H) Cpot B						12	83	1						Blank	9	Potions	1																						0
Act 5 (H) Cpot C						12	85	1						Blank	9	Potions	1																						0
Act 1 Champ A						13	0	-2						Act 1 Citem A	1	Act 1 Cpot A	1																						0
Act 1 Champ B						13	5	-2						Act 1 Citem B	1	Act 1 Cpot B	1																						0
Act 1 Champ C						13	9	-2						Act 1 Citem C	1	Act 1 Cpot C	1																						0
Act 2 Champ A						13	12	-2						Act 2 Citem A	1	Act 2 Cpot A	1																						0
Act 2 Champ B						13	15	-2						Act 2 Citem B	1	Act 2 Cpot B	1																						0
Act 2 Champ C						13	18	-2						Act 2 Citem C	1	Act 2 Cpot C	1																						0
Act 3 Champ A						13	20	-2						Act 3 Citem A	1	Act 3 Cpot A	1																						0
Act 3 Champ B						13	22	-2						Act 3 Citem B	1	Act 3 Cpot B	1																						0
Act 3 Champ C						13	24	-2						Act 3 Citem C	1	Act 3 Cpot C	1																						0
Act 4 Champ A						13	26	-2						Act 4 Citem A	1	Act 4 Cpot A	1																						0
Act 4 Champ B						13	29	-2						Act 4 Citem B	1	Act 4 Cpot B	1																						0
Act 5 Champ A						13	32	-2						Act 5 Citem A	1	Act 5 Cpot A	1																						0
Act 5 Champ B						13	34	-2						Act 5 Citem B	1	Act 5 Cpot B	1																						0
Act 5 Champ C						13	36	-2						Act 5 Citem C	1	Act 5 Cpot C	1																						0
Act 1 (N) Champ A						13	38	-2						Act 1 (N) Citem A	1	Act 1 (N) Cpot A	1																						0
Act 1 (N) Champ B						13	40	-2						Act 1 (N) Citem B	1	Act 1 (N) Cpot B	1																						0
Act 1 (N) Champ C						13	41	-2						Act 1 (N) Citem C	1	Act 1 (N) Cpot C	1																						0
Act 2 (N) Champ A						13	42	-2						Act 2 (N) Citem A	1	Act 2 (N) Cpot A	1																						0
Act 2 (N) Champ B						13	44	-2						Act 2 (N) Citem B	1	Act 2 (N) Cpot B	1																						0
Act 2 (N) Champ C						13	45	-2						Act 2 (N) Citem C	1	Act 2 (N) Cpot C	1																						0
Act 3 (N) Champ A						13	46	-2						Act 3 (N) Citem A	1	Act 3 (N) Cpot A	1																						0
Act 3 (N) Champ B						13	48	-2						Act 3 (N) Citem B	1	Act 3 (N) Cpot B	1																						0
Act 3 (N) Champ C						13	50	-2						Act 3 (N) Citem C	1	Act 3 (N) Cpot C	1																						0
Act 4 (N) Champ A						13	51	-2						Act 4 (N) Citem A	1	Act 4 (N) Cpot A	1																						0
Act 4 (N) Champ B						13	54	-2						Act 4 (N) Citem B	1	Act 4 (N) Cpot B	1																						0
Act 4 (N) Champ C						13	56	-2						Act 4 (N) Citem B	1	Act 4 (N) Cpot B	1																						0
Act 5 (N) Champ A						13	57	-3						Act 5 (N) Citem A	1	Act 5 (N) Cpot A	2																						0
Act 5 (N) Champ B						13	60	-3						Act 5 (N) Citem B	1	Act 5 (N) Cpot B	2																						0
Act 5 (N) Champ C						13	62	-3						Act 5 (N) Citem C	1	Act 5 (N) Cpot C	2																						0
Act 1 (H) Champ A						13	63	-3						Act 1 (H) Citem A	1	Act 1 (H) Cpot A	2																						0
Act 1 (H) Champ B						13	66	-3						Act 1 (H) Citem B	1	Act 1 (H) Cpot B	2																						0
Act 1 (H) Champ C						13	68	-3						Act 1 (H) Citem C	1	Act 1 (H) Cpot C	2																						0
Act 2 (H) Champ A						13	69	-3						Act 2 (H) Citem A	1	Act 2 (H) Cpot A	2																						0
Act 2 (H) Champ B						13	71	-3						Act 2 (H) Citem B	1	Act 2 (H) Cpot B	2																						0
Act 2 (H) Champ C						13	72	-3						Act 2 (H) Citem C	1	Act 2 (H) Cpot C	2																						0
Act 3 (H) Champ A						13	74	-3						Act 3 (H) Citem A	1	Act 3 (H) Cpot A	2																						0
Act 3 (H) Champ B						13	75	-3						Act 3 (H) Citem B	1	Act 3 (H) Cpot B	2																						0
Act 3 (H) Champ C						13	77	-3						Act 3 (H) Citem C	1	Act 3 (H) Cpot C	2																						0
Act 4 (H) Champ A						13	78	-3						Act 4 (H) Citem A	1	Act 4 (H) Cpot A	2																						0
Act 4 (H) Champ B						13	80	-3						Act 4 (H) Citem B	1	Act 4 (H) Cpot B	2																						0
Act 5 (H) Champ A						13	81	-3						Act 5 (H) Citem A	1	Act 5 (H) Cpot A	2																						0
Act 5 (H) Champ B						13	83	-3						Act 5 (H) Citem B	1	Act 5 (H) Cpot B	2																						0
Act 5 (H) Champ C						13	85	-3						Act 5 (H) Citem C	1	Act 5 (H) Cpot C	2																						0
Act 1 Uitem A						14	0	1	800	800	800	1024		Act 1 Equip A	58	Act 1 Good	4																						0
Act 1 Uitem B						14	5	1	800	800	800	1024		Act 1 Equip B	58	Act 1 Good	4																						0
Act 1 Uitem C						14	9	1	800	800	800	1024		Act 1 Equip C	58	Act 1 Good	4																						0
Act 2 Uitem A						14	12	1	800	800	800	1024		Act 2 Equip A	58	Act 2 Good	4																						0
Act 2 Uitem B						14	15	1	800	800	800	1024		Act 2 Equip B	58	Act 2 Good	4																						0
Act 2 Uitem C						14	18	1	800	800	800	1024		Act 2 Equip C	58	Act 3 Good	4																						0
Act 3 Uitem A						14	20	1	800	800	800	1024		Act 3 Equip A	58	Act 3 Good	4																						0
Act 3 Uitem B						14	22	1	800	800	800	1024		Act 3 Equip B	58	Act 3 Good	4																						0
Act 3 Uitem C						14	24	1	800	800	800	1024		Act 3 Equip C	58	Act 3 Good	4																						0
Act 4 Uitem A						14	26	1	800	800	800	1024		Act 4 Equip A	58	Act 4 Good	4																						0
Act 4 Uitem B						14	29	1	800	800	800	1024		Act 4 Equip B	58	Act 4 Good	4																						0
Act 5 Uitem A						14	32	1	800	800	800	1024		Act 5 Equip A	58	Act 5 Good	4																						0
Act 5 Uitem B						14	34	1	800	800	800	1024		Act 5 Equip B	58	Act 5 Good	4																						0
Act 5 Uitem C						14	36	1	800	800	800	1024		Act 5 Equip C	58	Act 5 Good	4																						0
Act 1 (N) Uitem A						14	38	1	800	800	800	1024		Act 1 (N) Equip A	58	Act 1 (N) Good	4																						0
Act 1 (N) Uitem B						14	40	1	800	800	800	1024		Act 1 (N) Equip B	58	Act 1 (N) Good	4																						0
Act 1 (N) Uitem C						14	41	1	800	800	800	1024		Act 1 (N) Equip B	58	Act 1 (N) Good	4																						0
Act 2 (N) Uitem A						14	42	1	800	800	800	1024		Act 2 (N) Equip A	58	Act 2 (N) Good	4																						0
Act 2 (N) Uitem B						14	44	1	800	800	800	1024		Act 2 (N) Equip B	58	Act 2 (N) Good	4																						0
Act 2 (N) Uitem C						14	45	1	800	800	800	1024		Act 2 (N) Equip B	58	Act 2 (N) Good	4																						0
Act 3 (N) Uitem A						14	46	1	800	800	800	1024		Act 3 (N) Equip A	58	Act 3 (N) Good	4																						0
Act 3 (N) Uitem B						14	48	1	800	800	800	1024		Act 3 (N) Equip B	58	Act 3 (N) Good	4																						0
Act 3 (N) Uitem C						14	50	1	800	800	800	1024		Act 3 (N) Equip B	58	Act 3 (N) Good	4																						0
Act 4 (N) Uitem A						14	51	1	800	800	800	1024		Act 4 (N) Equip A	58	Act 4 (N) Good	4																						0
Act 4 (N) Uitem B						14	54	1	800	800	800	1024		Act 4 (N) Equip B	58	Act 4 (N) Good	4																						0
Act 5 (N) Uitem A						14	57	1	800	800	800	1024		Act 5 (N) Equip A	58	Act 5 (N) Good	4																						0
Act 5 (N) Uitem B						14	60	1	800	800	800	1024		Act 5 (N) Equip B	58	Act 5 (N) Good	4																						0
Act 5 (N) Uitem C						14	62	1	800	800	800	1024		Act 5 (N) Equip C	58	Act 5 (N) Good	4																						0
Act 1 (H) Uitem A						14	63	1	800	800	800	1024		Act 1 (H) Equip A	58	Act 1 (H) Good	4																						0
Act 1 (H) Uitem B						14	66	1	800	800	800	1024		Act 1 (H) Equip B	58	Act 1 (H) Good	4																						0
Act 1 (H) Uitem C						14	68	1	800	800	800	1024		Act 1 (H) Equip B	58	Act 1 (H) Good	4																						0
Act 2 (H) Uitem A						14	69	1	800	800	800	1024		Act 2 (H) Equip A	58	Act 2 (H) Good	4																						0
Act 2 (H) Uitem B						14	71	1	800	800	800	1024		Act 2 (H) Equip B	58	Act 2 (H) Good	4																						0
Act 2 (H) Uitem C						14	72	1	800	800	800	1024		Act 2 (H) Equip B	58	Act 2 (H) Good	4																						0
Act 3 (H) Uitem A						14	74	1	800	800	800	1024		Act 3 (H) Equip A	58	Act 3 (H) Good	4																						0
Act 3 (H) Uitem B						14	75	1	800	800	800	1024		Act 3 (H) Equip B	58	Act 3 (H) Good	4																						0
Act 3 (H) Uitem C						14	77	1	800	800	800	1024		Act 3 (H) Equip B	58	Act 3 (H) Good	4																						0
Act 4 (H) Uitem A						14	78	1	800	800	800	1024		Act 4 (H) Equip A	58	Act 4 (H) Good	4																						0
Act 4 (H) Uitem B						14	80	1	800	800	800	1024		Act 4 (H) Equip B	58	Act 4 (H) Good	4																						0
Act 5 (H) Uitem A						14	81	1	800	800	800	1024		Act 5 (H) Equip A	58	Act 5 (H) Good	4																						0
Act 5 (H) Uitem B						14	83	1	800	800	800	1024		Act 5 (H) Equip B	58	Act 5 (H) Good	4																						0
Act 5 (H) Uitem C						14	85	1	800	800	800	1024		Act 5 (H) Equip C	58	Act 5 (H) Good	4																						0
Act 1 Unique A						15	0	-3						Act 1 Uitem A	1	Act 1 Cpot A	2																						0
Act 1 Unique B						15	5	-3						Act 1 Uitem B	1	Act 1 Cpot B	2																						0
Act 1 Unique C						15	9	-3						Act 1 Uitem C	1	Act 1 Cpot C	2																						0
Act 2 Unique A						15	12	-3						Act 2 Uitem A	1	Act 2 Cpot A	2																						0
Act 2 Unique B						15	15	-3						Act 2 Uitem B	1	Act 2 Cpot B	2																						0
Act 2 Unique C						15	18	-3						Act 2 Uitem C	1	Act 2 Cpot C	2																						0
Act 3 Unique A						15	20	-3						Act 3 Uitem A	1	Act 3 Cpot A	2																						0
Act 3 Unique B						15	22	-3						Act 3 Uitem B	1	Act 3 Cpot B	2																						0
Act 3 Unique C						15	24	-3						Act 3 Uitem C	1	Act 3 Cpot C	2																						0
Act 4 Unique A						15	26	-3						Act 4 Uitem A	1	Act 4 Cpot A	2																						0
Act 4 Unique B						15	29	-3						Act 4 Uitem B	1	Act 4 Cpot B	2																						0
Act 5 Unique A						15	32	-3						Act 5 Uitem A	1	Act 5 Cpot A	2																						0
Act 5 Unique B						15	34	-3						Act 5 Uitem B	1	Act 5 Cpot B	2																						0
Act 5 Unique C						15	36	-3						Act 5 Uitem C	1	Act 5 Cpot C	2																						0
Act 1 (N) Unique A						15	38	-3						Act 1 (N) Uitem A	1	Act 1 (N) Cpot A	2																						0
Act 1 (N) Unique B						15	40	-3						Act 1 (N) Uitem B	1	Act 1 (N) Cpot B	2																						0
Act 1 (N) Unique C						15	41	-3						Act 1 (N) Uitem C	1	Act 1 (N) Cpot C	2																						0
Act 2 (N) Unique A						15	42	-3						Act 2 (N) Uitem A	1	Act 2 (N) Cpot A	2																						0
Act 2 (N) Unique B						15	44	-3						Act 2 (N) Uitem B	1	Act 2 (N) Cpot B	2																						0
Act 2 (N) Unique C						15	45	-3						Act 2 (N) Uitem C	1	Act 2 (N) Cpot C	2																						0
Act 3 (N) Unique A						15	46	-3						Act 3 (N) Uitem A	1	Act 3 (N) Cpot A	2																						0
Act 3 (N) Unique B						15	48	-3						Act 3 (N) Uitem B	1	Act 3 (N) Cpot B	2																						0
Act 3 (N) Unique C						15	50	-3						Act 3 (N) Uitem C	1	Act 3 (N) Cpot C	2																						0
Act 4 (N) Unique A						15	51	-3						Act 4 (N) Uitem A	1	Act 4 (N) Cpot A	2																						0
Act 4 (N) Unique B						15	54	-3						Act 4 (N) Uitem B	1	Act 4 (N) Cpot B	2																						0
Act 5 (N) Unique A						15	57	-3						Act 5 (N) Uitem A	1	Act 5 (N) Cpot A	2																						0
Act 5 (N) Unique B						15	60	-3						Act 5 (N) Uitem B	1	Act 5 (N) Cpot B	2																						0
Act 5 (N) Unique C						15	62	-3						Act 5 (N) Uitem C	1	Act 5 (N) Cpot C	2																						0
Act 1 (H) Unique A						15	63	-3						Act 1 (H) Uitem A	1	Act 1 (H) Cpot A	2																						0
Act 1 (H) Unique B						15	66	-3						Act 1 (H) Uitem B	1	Act 1 (H) Cpot B	2																						0
Act 1 (H) Unique C						15	68	-3						Act 1 (H) Uitem C	1	Act 1 (H) Cpot C	2																						0
Act 2 (H) Unique A						15	69	-3						Act 2 (H) Uitem A	1	Act 2 (H) Cpot A	2																						0
Act 2 (H) Unique B						15	71	-3						Act 2 (H) Uitem B	1	Act 2 (H) Cpot B	2																						0
Act 2 (H) Unique C						15	72	-3						Act 2 (H) Uitem C	1	Act 2 (H) Cpot C	2																						0
Act 3 (H) Unique A						15	74	-3						Act 3 (H) Uitem A	1	Act 3 (H) Cpot A	2																						0
Act 3 (H) Unique B						15	75	-3						Act 3 (H) Uitem B	1	Act 3 (H) Cpot B	2																						0
Act 3 (H) Unique C						15	77	-3						Act 3 (H) Uitem C	1	Act 3 (H) Cpot C	2																						0
Act 4 (H) Unique A						15	78	-3						Act 4 (H) Uitem A	1	Act 4 (H) Cpot A	2																						0
Act 4 (H) Unique B						15	80	-3						Act 4 (H) Uitem B	1	Act 4 (H) Cpot B	2																						0
Act 5 (H) Unique A						15	81	-3						Act 5 (H) Uitem A	1	Act 5 (H) Cpot A	2																						0
Act 5 (H) Unique B						15	83	-3						Act 5 (H) Uitem B	1	Act 5 (H) Cpot B	2																						0
Act 5 (H) Unique C						15	85	-3						Act 5 (H) Uitem C	1	Act 5 (H) Cpot C	2																						0
Quill 1						16	0	1						Blank	50	gld,mul=1536	2	Act 1 Junk	19																				0
Quill 2						16	4	1						Blank	50	gld,mul=1536	2	Act 1 Junk	19																				0
Quill 3						16	8	1						Blank	50	gld,mul=1536	2	Act 1 Junk	19	Act 1 Good	1																		0
Quill 4						16	12	1						Blank	50	gld,mul=1536	2	Act 1 Junk	19	Act 1 Good	1																		0
Quill 5						16	20	1						Blank	50	gld,mul=1536	2	Act 3 Junk	19	Act 3 Good	1																		0
Quill 1 (N)						16	32	1						Blank	50	gld,mul=1536	2	Act 1 (N) Junk	19																				0
Quill 2 (N)						16	35	1						Blank	50	gld,mul=1536	2	Act 1 (N) Junk	19	Act 1 (N) Good	1																		0
Quill 3 (N)						16	38	1						Blank	50	gld,mul=1536	2	Act 1 (N) Junk	19	Act 1 (N) Good	1																		0
Quill 4 (N)						16	40	1						Blank	50	gld,mul=1536	2	Act 1 (N) Junk	19	Act 1 (N) Good	1																		0
Quill 5 (N)						16	46	1						Blank	50	gld,mul=1536	2	Act 3 (N) Junk	19	Act 3 (N) Good	1																		0
Quill 1 (H)						16	60	1						Blank	50	gld,mul=1536	2	Act 1 (H) Junk	19																				0
Quill 2 (H)						16	62	1						Blank	50	gld,mul=1536	2	Act 1 (H) Junk	19	Act 1 (H) Good	3																		0
Quill 3 (H)						16	65	1						Blank	50	gld,mul=1536	2	Act 1 (H) Junk	19	Act 1 (H) Good	3																		0
Quill 4 (H)						16	68	1						Blank	50	gld,mul=1536	2	Act 1 (H) Junk	19	Act 1 (H) Good	3																		0
Quill 5 (H)						16	85	1						Blank	50	gld,mul=1536	2	Act 3 (H) Junk	19	Act 3 (H) Good	3																		0
Swarm 1						17	0	1						Blank	50	Potions	12	gld,mul=1536	2	Act 2 Good	1																		0
Swarm 2						17	20	1						Blank	50	Potions	12	gld,mul=1536	2	Act 3 Good	1																		0
Swarm 1 (N)						17	40	1						Blank	50	Potions	12	gld,mul=1536	2	Act 2 (N) Good	1																		0
Swarm 2 (N)						17	46	1						Blank	50	Potions	12	gld,mul=1536	2	Act 3 (N) Good	1																		0
Swarm 1 (H)						17	68	1						Blank	50	Potions	12	gld,mul=1536	2	Act 2 (H) Good	1																		0
Swarm 2 (H)						17	74	1						Blank	50	Potions	12	gld,mul=1536	2	Act 3 (H) Good	1																		0
Andariel								6	983	1024	983	1024		Blank	8	Act 2 Equip A	19	Act 2 Junk	15	Act 2 Good	3																		0
Andariel (N)								6	983	1024	983	1024		Blank	8	Act 2 (N) Equip A	19	Act 2 (N) Junk	15	Act 2 (N) Good	3																		0
Andariel (H)								6	983	1024	983	1024		Blank	8	Act 2 (H) Equip A	19	Act 2 (H) Good	5	tes	2	shards	2																0
Andarielq								-4	995	1024	1024	1024		Act 2 Equip A	1	Act 2 Good	3																						0
Andarielq (N)								-5	995	1024	1024	1024		Act 2 (N) Equip A	3	Act 2 (N) Good	2																						0
Andarielq (H)								6	995	1024	1024	1024		Act 2 (H) Equip A	10	Act 2 (H) Good	8	tes	1	shards	2																		0
Duriel - Base								6	983	1024	983	1024		Blank	8	Act 3 Equip A	19	Act 3 Junk	15	Act 3 Good	3																		0
Duriel (N) - Base								6	983	1024	983	1024		Blank	8	Act 3 (N) Equip A	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																		0
Duriel (H) - Base								6	983	1024	983	1024		Blank	8	Act 3 (H) Equip A	19	Act 3 (H) Good	3	tes	2	shards	2																0
Durielq - Base								-3	993	1024	1024	1024		Act 3 Equip A	1	Act 3 Good	2																						0
Durielq (N) - Base								-5	993	1024	1024	1024		Act 3 (N) Equip A	2	Act 3 (N) Good	3																						0
Durielq (H) - Base								6	993	1024	1024	1024		Act 3 (H) Equip A	1	Act 3 (H) Good	2	tes	1	shards	2																		0
Radament								5	900	900	900	1024		Blank	8	Act 3 Equip B	19	Act 3 Junk	15	Act 3 Good	3																		0
Radament (N)								5	900	900	900	1024		Blank	8	Act 3 (N) Equip B	19	Act 3 (N) Junk	15	Act 3 (N) Good	3																		0
Radament (H)								5	900	900	900	1024		Blank	8	Act 3 (H) Equip C	19	Act 3 (H) Junk	15	Act 3 (H) Good	3																		0
Flying Scimitar								1						Blank	50	Act 2 Good	3	scm	57																				0
Flying Scimitar (N)								1						Blank	50	Act 2 (N) Good	3	scm	25	9sm	32																		0
Flying Scimitar (H)								1						Blank	50	Act 2 (H) Good	3	scm	7	9sm	18	7sm	32																0
Mephisto								6	983	1024	983	1024		Blank	8	Act 4 Equip A	52	Act 4 Junk	5	Act 4 Good	3																		0
Mephisto (N)								6	983	1024	983	1024		Blank	8	Act 4 (N) Equip A	52	Act 4 (N) Junk	5	Act 4 (N) Good	3																		0
Mephisto (H)								6	983	1024	983	1024		Blank	8	Act 4 (H) Equip A	30	Act 4 (H) Good	7	ceh	2	shards	2																0
Mephistoq								-3	993	1024	1024	1024		Act 4 Equip A	1	Act 4 Good	2																						0
Mephistoq (N)								-5	993	1024	1024	1024		Act 4 (N) Equip A	2	Act 4 (N) Good	3																						0
Mephistoq (H)								6	993	1024	1024	1024		Act 4 (H) Equip A	1	Act 4 (H) Good	2	ceh	1	shards	2																		0
Diablo								6	983	1024	983	1024		Blank	8	Act 5 Equip A	52	Act 5 Junk	5	Act 5 Good	3																		0
Diablo (N)								6	983	1024	983	1024		Blank	8	Act 5 (N) Equip A	52	Act 5 (N) Junk	5	Act 5 (N) Good	3																		0
Diablo (H)								6	983	1024	983	1024		Blank	8	Act 5 (H) Equip A	30	Act 5 (H) Junk	7	Act 5 (H) Good	6	bet	2	shards	2														0
Diabloq								-3	993	1024	1024	1024		Act 5 Equip A	1	Act 5 Good	2																						0
Diabloq (N)								-5	993	1024	1024	1024		Act 5 (N) Equip A	2	Act 5 (N) Good	3																						0
Diabloq (H)								6	993	1024	1024	1024		Act 5 (H) Equip A	1	Act 5 (H) Good	2	bet	1	shards	2																		0
Summoner								5	900	900	972	1024		Blank	8	Act 2 Equip C	15	Act 3 Junk	5	Act 2 Good	3																		0
Summoner (N)								5	900	900	972	1024		Blank	8	Act 2 (N) Equip C	15	Act 3 (N) Junk	5	Act 2 (N) Good	3																		0
Summoner (H)								5	900	900	972	1024		Blank	5	Act 5 (H) Equip A	15	Act 2 (H) Good	10	Runes 12	10	HKey	10																0
Ismail								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3																0
Ismail (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	20	Act 4 (N) Good	3																		0
Ismail (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Bremm								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3																0
Bremm (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Bremm (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Toorc								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3														1	1	0
Toorc (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Toorc (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Wyand								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3																0
Wyand (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Wyand (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Maffer								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3																0
Maffer (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Maffer (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Geleb								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3																0
Geleb (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Geleb (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Council								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 Equip A	15	Act 4 Junk	5	Act 4 Good	3																0
Council (N)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Council (H)								3	650	800	800	1024		Blank	8	gld,mul=1536	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Griswold-Uniq								1	1024					Blank	16	Griswold's Edge	1																						0
Griswold-Uniq (N)								1	1024					Blank	8	Griswold's Edge	1																						0
Griswold-Set (H)								1		1024				Blank	96	Griswold's Valor	1	Griswold's Honor	1	Griswolds's Redemption	1	Griswold's Heart	1																0
Griswold								-4						Act 1 Uitem C	1	Act 1 Melee B	2	Griswold-Uniq	1																				0
Griswold (N)								-4						Act 1 (H) Uitem C	1	Act 1 (N) Melee B	2	Griswold-Uniq (N)	1																				0
Griswold (H)								-4						Act 1 (H) Uitem C	1	Act 1 (H) Melee B	2	Griswold-Set (H)	1																				0
Cow								1						Blank	30	Gold	3	Act 5 Equip A	19	Act 5 Good	5																		0
Cow (N)								1						Blank	30	Gold	3	Act 5 (N) Equip A	19	Act 5 (N) Good	5																		0
Cow (H)								1						Blank	30	Gold	3	Act 5 (H) Equip B	19	Act 5 (H) Good	5																		0
Trapped Soul								1						Blank	30	Gold	5	Act 4 Equip A	8																				0
Trapped Soul (N)								1						Blank	30	Gold	5	Act 4 (N) Equip A	8																				0
Trapped Soul (H)								1						Blank	30	Gold	5	Act 4 (H) Equip A	8																				0
Hephasto								5	800	800	1024	1024		Blank	8	Act 5 Equip A	19	Act 5 Junk	5	Act 5 Good	3																		0
Hephasto (N)								5	800	800	1024	1024		Blank	8	Act 5 (N) Equip A	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																		0
Hephasto (H)								-5	800	800	1024	1024		Blank	8	Act 5 (H) Equip A	2	Act 5 (H) Junk	1	Act 5 (H) Good	2																		0
Nihlathak								5	900	900	1024	1024		Blank	8	Act 5 Equip B	19	Act 5 Junk	5	Act 5 Good	3																		0
Nihlathak (N)								5	900	900	1024	1024		Blank	8	Act 5 (N) Equip B	19	Act 5 (N) Junk	5	Act 5 (N) Good	3																		0
Nihlathak (H)								5	900	900	1024	1024		Blank	5	Act 5 (H) Equip B	15	Act 5 (H) Good	10	Runes 15	10	DKey	10																0
