index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Pointed Justice	131	Majestic Lancer	am5	Maiden Javelins	7	10	15	dyel	dyel						5	5000	2	swing		20	20	oskill	Lightning Fury	1	2	oskill	Critical Strike	1	2	regen		3	3																	oskill	CharmSkill	1	1	dmg%		50	50																																						0
True Parry	132	Majestic Lancer	lrg	Large Shield	7	10	15	dyel	dyel						5	5000	2	ac%		30	30	dex		15	15	blockrate		20	20																																	str		15	15																														0
Solidarity	133	Majestic Lancer	Zc1	Skovos Circle	7	10	15	dyel	dyel						5	5000	2	att/lvl	16			res-ltng		15	15	oskill	Inner Sight	1	3																									move		30	30					regen-mana		30	30																														0
Island Shore	134	Skovos Storm	am1	Stag Bow	7	10	15	cblu	cblu						5	5000	2	dmg-ltng		1	20	dex		15	15	hit-skill	CTC_Nova	5	3																					oskill	CharmSkill	1	1	dmg%		75	75																																						0
Raging Seas	135	Skovos Storm	vgl	Heavy Gloves	7	10	15	cblu	cblu						5	5000	2	swing		15	15	res-ltng		20	20	ext-missile		1	1																									extra-cold		10	10					extra-fire		10	10																														0
Eye of the Storm	136	Skovos Storm	aqv	Arrows	7	10	15	cblu	cblu						5	5000	2	att		50	50	noconsume		100	100	mana-perhit		2	2	light-thorns		2	2																					dmg%		25	25																																						0
Sturdy Garment	137	Wonder Wear	zmb	Mesh Belt	7	20	24	dgld	dgld						5	5000	2	red-dmg%		5	10	ac%		100	100	abs-mag%		1	10	extra-mag		5	15																					dmg-to-mana		30	30													mana-gethit		3	3																						0
True Deflector	138	Wonder Wear	xkp	Sallet	7	20	24		oran						5	5000	2	skill	Slow Missiles	2	5	thorns		3	6	red-mag		3	3	ac-miss		200	200																					ac%		150	150					skill	Evasive Tactics	3	3																														0
Encased Corset	139	Wonder Wear	xtu	Trellised Armor	7	20	24	oran	oran						5	5000	2	skilltab	2	1	3	ac%		25	25	dmg%		30	30																									swing		20	20													ac		300	300																						0
Silver Bracers	140	Wonder Wear	xtg	Battle Gauntlets	7	20	24	lgry	lgry						5	5000	2	block		15	15	ac		20	40	red-dmg%		3	3																																	blockrate		15	15					ext-missile		2	2																						0
Outreach	141	Vizjerei Vocation	Vg1	Arcanic Touch	8	10	6	dyel	dyel						5	5000	2	cast		10	10	mana-kill		1	3	demon-heal		2	4																									ac		30	30																																						0
Masterful Teachings	142	Vizjerei Vocation	ob2	Sacred Globe	8	10	6	dyel	dyel						5	5000	2	mana		60	60	skill	Discharge	1	4	abs-ltng		1	3																					oskill	CharmSkill	1	1	cast		20	20																																						0
Inner Focus	143	Vizjerei Vocation	ci0	Circlet	8	10	6	dyel	dyel						5	5000	2	regen-mana		60	120	regen		4	6	balance		12	12																									ac-hth		100	100																																						0
Disruptor	144	Beyond Battlemage	9cr	Dimensional Blade	3	25	30	cred	cred						5	5000	2	dmg		20	30	att-skill	CTC_StaticField	3	10	att%		10	30	sock		0	2																	oskill	CharmSkill	1	1	swing		50	50																																						0
Bursting Desire	145	Beyond Battlemage	xit	Dragon Shield	3	25	30	cred	cred						5	5000	2	ease		-50	-50	skill	Hydra	3	6	gethit-skill	Shiver Armor	25	20	blockrate		40	40																					block		30	30													res-all		20	20																						0
Underestimated	146	Beyond Battlemage	xea	Serpentskin Armor	3	25	30	cred	cred						5	5000	2	ac%		75	150	oskill	Overheat	0	3	enr		5	25	red-mag		3	5																					dmg/lvl	6																																								0
Tundra Storm	147	Glacial Plains	xsk	Death Mast	3	25	30	cblu	cblu						5	5000	2	res-cold-max		5	10	oskill	Cold Mastery	2	3	mana		60	100	cdr		20	20																					oskill	Frost Nova	3	3																																						0
Enduring Onslaught	148	Glacial Plains	zlb	Demonhide Sash	3	25	30	cblu	cblu						5	5000	2	vit%		4	7	str		15	15	ac		35	60	oskill	Warmth	2	2																					red-dmg%		15	15																																						0
Frozen Goliath	149	Glacial Plains	xpk	Barbed Shield	3	25	30	cblu	cblu						5	5000	2	skill	Abominable	3	5	ac-hth		100	150	dmg-cold	100	55	110																																	sum-dmg		100	100																														0
Rathma's Reaper	150	Rathma's Calling	9mp	Battle Sickle	4	60	60	blac							5	5000	2	dmg%		100	150	sum-hp		200	200	skill	Corpse Explosion	3	5	sum-cr		100	100	swing		40	40													oskill	CharmSkill	1	1	cast		40	40					heal-perhit		5	5																														0
Rathma's Shelter	151	Rathma's Calling	ush	Troll Nest	4	60	65	blac	blac						5	5000	2	ac%		90	120	sock		2	2	regen-mana		30	30	mana%		12	25	bone_armor		15	20																									oskill	BoneSpikes	5	5																														0
Rathma's Vestage	152	Rathma's Calling	uh9	Bone Visage	4	60	65	whit							5	5000	2	ac		50	100	ease		-50	-50	regen-mana		30	30	vit		12	25	oskill	Bone Armor	2	2																	att		200	200																																						0
Rathma's Fortress	153	Rathma's Calling	uea	Wyrmhide	4	60	65	blac							5	5000	2	move		20	20	sock		1	1	regen-mana		30	30	mana%		12	25	oskill	Final Calling	2	2																	ac		150	150					cast		10	10																														0
Stacato's Sigil	154	Stacatomamba's Guidance	rin	Ring	7	45	40								5	2500		hp		15	15	hp%		3	3	str		10	10	res-pois-len		25	25	lifesteal		2	2	red-dmg		2	2																																																						0
Mamba's Circle	155	Stacatomamba's Guidance	rin	Ring	7	65	40								5	2500		mana		30	30	mana%		5	5	enr		10	10	res-curse-len		25	25	mana-kill		3	3	red-mag		2	2																																																						0
Kreigur's Will	156	Kreigur's Mastery	72h	Shinogi	7	64	44	bwht	bwht						5	2500		charge-noconsume		15	25	skill-rand	3	251	280	sum-ex		2	4	mag%		25	25	dex/lvl	3															oskill	CharmSkill	1	1																																										0
Kreigur's Judgement	157	Kreigur's Mastery	72h	Shinogi	7	64	44	blac	blac						5	2500		charge-noconsume		15	25	extra-elem		20	20	swing		20	45	allskills		1	1	sum-dmg		50	50													oskill	CharmSkill	1	1																																										0
Kami	158	Scarlet Sukami	7fb	Colossal Sword	7	80	60	cred	cred						5	2500		att%		100	100	dualsteal		5	8	swing		20	35	dmg%		200	250	dex		40	40	deadly/str	2											oskill	CharmSkill	1	1																																										0
Su	159	Scarlet Sukami	7b7	Champion Sword	7	77	57	cred	cred						5	2500		str		30	40	att		150	150	dmg%		200	250	ext-att		3	5	str/lvl	3			wounds/str	2											oskill	CharmSkill	1	1																																										0
Ysenob's Blood	160	Mirrored Flames	uhb	Myrmidon Greaves	0	99	65	dred	dred						5	2500		ac%		120	150	move		15	25	res-all		15	15	cast/enr	1			cdr		25	50	ease		-40	-40																																																						0
Noertap's Pride	161	Mirrored Flames	uhc	Colossus Girdle	0	99	67	dred	dred						5	2500		ac%		120	150	fireskill		1	2	balance		24	24	enr		20	20	buff-length		10	25	ease		-40	-40																																																						0
Olbaid's Deceipt	162	Mirrored Flames	uhg	Ogre Gauntlets	0	99	64	dred	dred						5	2500		ac%		120	150	cast		15	25	pierce-immunity-fire		20	30	swing/enr	1			ext-missile		2	3	ease		-40	-40																																																						0
Gale Strength	163	Unstoppable Force	7ts	Winged Harpoon	0	99	65								5	2500		dmg%		250	300	swing		15	25	str		20	30	pierce-immunity-cold		20	30	dmg%/lvl	16			noconsume		100	100	reduce-ac		15	25	oskill	CharmSkill	1	1																																														0
Assault Prowess	164	Unstoppable Force	7ts	Winged Harpoon	0	99	65								5	2500		dmg%		250	300	swing/str	1			dualsteal		8	10	ext-att		3	5	dmg/lvl	8			noconsume		100	100	reduce-ac		15	25	oskill	CharmSkill	1	1																																														0
Thirst for Blood	165	Underworld's Unrest	umb	Boneweave Boots	0	99	54								5	2500		ac%		120	150	aura	Vigor_I	5	10	res-all		20	20	bone-syn		20	25	enr		10	30																																																										0
Rotting Reaper	166	Underworld's Unrest	mpi	Reaper Sickle	0	99	59								5	2500		dmg%		120	150	skilltab	8	1	2	cast		20	30	dmg-pois	12	200	400	skill	Poison Explosion	3	3	oskill	CharmSkill	1	1																																																						0
Siphon String	167	Underworld's Unrest	uvc	Vampirefang Belt	0	99	51								5	2500		ac%		120	150	balance		10	20	dualsteal		5	10	heal-gethit		10	10	skill	Bone Armor	5	5	demon-heal		10	20																																																						0
Crown of Cold	168	Elemental Blueprints	ci3	Diadem	0	99	64								5	2500		ac%		120	150	allskills		1	1	res-all		20	30	addxp		5	5	move		20	20	pierce-immunity-cold		15	30																																																						0
Blazing Band	169	Elemental Blueprints	rin	Ring	0	99	1								5	2500		all-stats		10	10	red-dmg%		5	5	res-all-max		3	5	cast		15	15	pierce-immunity-fire		5	15																																																										0
Lightning Locket	170	Elemental Blueprints	amu	Amulet	0	99	1								5	2500		pierce-elem		20	20	swing/enr	1		aura	Prayer		10	10	ext-missile		3	3	pierce-immunity-light		15	30																																																										0
Brewing Storm	171	Raijin's Rebellion	uts	Ward	0	99	63								5	2500		ac%		150	250	block		35	35	randclassskill3		0	6	pierce-ltng		10	20	cdr		20	30	gethit-skill	Rolling Thunder	50	20	smite		42	43																																																		0
Charged Chaos	172	Raijin's Rebellion	uld	Kraken Shell	0	99	61								5	2500		ac%		150	250	vit%		20	25	abs-ltng/lvl	4			oskill	Gleaming Apprentice	1	1	lightskill		1	2	ext-missile		3	5																																																						0
Electron Emitter	173	Raijin's Rebellion	urn	Corona	0	99	66								5	2500		ac%		150	250	kill-skill	Shock Field	10	20	pierce-immunity-light		15	25	res-all		10	20	Weight-Capacity		3	3	buff-length		10	20																																																						0
Achyls' Armament	174	Mikael's Toxicity	uhn	Boneweave	0	99	47								5	2500		ac%		150	250	oskill	Anthrax Armor	1	5	res-all		15	25	ext-missile		3	3	hp		50	50	res-pois		45	45	Weight-Capacity		3	3																																																		0
Pendant of Pestilence	175	Mikael's Toxicity	amu	Amulet	0	99	1								5	2500		allskills		1	1	pierce-pois		15	25	cdr		25	40	nofreeze		1	1	res-pois-len		25	25																																																										0
Plague Protector	176	Mikael's Toxicity	ush	Troll Nest	0	99	57								5	2500		ac%		150	250	skilltab	7	2	4	skill	Poison Explosion	3	7	mana		50	50	res-pois-max		15	15	block		20	20	smite		24	38																																																		0
Meat Masher	177	Warrior's Wrath	7gm	Thunder Maul	0	99	65								5	2500		dmg%		350	450	allskills		2	2	ignore-ac		1	1	crush		30	40	heal-kill		5	10	swing		40	60	str%		10	10	oskill	CharmSkill	1	1																																														0
Supreme Strength	178	Warrior's Wrath	utg	Crusader Gauntlets	0	99	57								5	2500		ac%		150	250	heal-perhit		2	4	deadly/str	1			wounds/str	1			att		100	200																																																										0
Repeating Reaper	179	Blessings of Artemis	6rx	Demon Crossbow	0	99	63								5	2500		dmg%		350	450	swing		30	40	manasteal		5	5	reduce-ac		50	50	att%		100	100	pierce-immunity-damage		25	35	pierce		50	50	oskill	CharmSkill	1	1																																														0
Fletcher's Friend	180	Blessings of Artemis	Ag6	Huntress Gloves	0	99	64								5	2500		skilltab	0	2	2	wounds/dex	1			deadly/dex	1			heal-kill		4	4	kill-skill	Inner Sight	5	10	dex/lvl	3																																																								0
Band of Brothers	181	Artio's Calling	rin	Ring	0	99	1								5	2500		skilltab	15	2	2	cast/enr	1			res-pois-len		30	30	mana		35	35	oskill	Fenris	1	1																																																										0
Grizzlepaw's Hide	182	Artio's Calling	Gg3	Grizzly Gear	0	99	53	blac	blac						5	2500		ac%		200	300	allskills		1	1	red-dmg%		10	10	res-all-max		5	5	sum-ex		3	3																																																										0
Animal Instinct	183	Artio's Calling	umc	Mithril Coil	0	99	56								5	2500		ac%		150	250	balance		12	12	regen-mana		100	100	pierce-all		20	20	mana-kill		3	3																																																										0
Justitia's Anger	184	Justitia's Divinity	7ws	Cadaceus	0	99	67								5	2500		dmg%		120	150	allskills		2	2	extra-mag		20	30	cast/enr	1			str/lvl	3			dmg		50	50	swing		20	20	oskill	CharmSkill	1	1																																														0
Justitia's Embrace	185	Justitia's Divinity	paf	Vortex Shield	0	99	66								5	2500		ac%		150	250	pal		2	2	magskill		1	1	extra-mag		25	25	gold%/lvl	16			mag%/lvl	8			all-stats		20	20	smite		110	111																																														0
Hand of Efreeti	186	Pulsing Presence	ulg	Bramble Mitts	0	99	42								5	2500		ac%		150	250	aura	Holy Fire	10	10	cast		20	25	pierce-fire		20	20	res-fire-max		5	5	extra-fire		15	20																																																						0
Morning Frost	187	Pulsing Presence	uvb	Scarabshell Boots	0	99	49								5	2500		ac%		150	250	aura	Holy Freeze	10	10	balance		12	12	pierce-cold		20	20	res-cold-max		5	5	extra-cold		15	20																																																						0
Thunderlord's Vision	188	Pulsing Presence	usk	Demonhead	0	99	55								5	2500		ac%		150	250	aura	Holy Shock	10	10	move		20	30	pierce-ltng		20	20	res-ltng-max		5	5	extra-ltng		15	20																																																						0
Coil of Heaven	189	Celestial Caress	rin	Ring	0	99	1								5	2500		dmg-mag		100	100	cast		15	20	addxp		10	10	skill	Fist of the Heavens	2	4																																																														0
Band of Divinity	190	Celestial Caress	rin	Ring	0	99	1								5	2500		dmg-elem		300	300	ext-missile		1	1	hp		100	100	mana		100	100																																																														0
Godly Locket	191	Celestial Caress	amu	Amulet	0	99	1								5	2500		all-stats%		5	5	extra-elem		10	15	abs-fire%		3	3	abs-ltng%		3	3	abs-cold%		3	3	pierce-elem		10	15																																																						0
Chains of Bondage	192	Breaker of Chains	ci3	Diadem	0	99	64								5	2500		allskills		1	1	skill	Chain Lightning	3	7	pierce-ltng		10	15	extra-ltng		10	15	levelreq		-25	-25																																																										0
Chains of Force	193	Breaker of Chains	utp	Archon Plate	0	99	63								5	2500		allskills		1	1	skill	Shield Toss	3	7	dmg		50	50	dmg%		200	200	aura	ReducePhysResist	10	10	levelreq		-25	-25																																																						0
Night's Disguise	194	Silhouette of Silence	Ca3	Cloak	0	99	49								5	2500		skilltab	20	2	3	res-all-max		10	10	pierce-all		20	30	nofreeze		1	1	ignore-ac		1	1																																																										0
Silent Stalkers	195	Silhouette of Silence	Ab3	Bladed Boots	0	99	49								5	2500		skilltab	19	1	2	wounds/dex	2			deadly/dex	2			move		40	40	demon-heal		10	10																																																										0
Toxic Grasp	196	Silhouette of Silence	uvg	Vampirebone Gloves	0	99	47								5	2500		kill-skill	Venom	10	20	swing		20	30	extra-elem		20	20	ext-att		3	3	mag%		50	50	gold%		100	100																																																						0
Blade Binding	197	Mangala's Teachings	uvc	Vampirefang Belt	0	99	51								5	2500		balance		20	20	dex		30	30	oskill	Blade Shield	3	3	dual%		5	10																																																														0
Murderous Intent	198	Mangala's Teachings	uap	Shako	0	99	43								5	2500		oskill	Blade Fury	3	3	ext-att		2	2	dualsteal		5	5	noheal		1	1	dmg-demon		50	100	dmg-undead		50	100																																																						0
