index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Hand of Blessed Light	103	100	1			1	1	50	42	9ws	Divine Scepter		5	5000	lyel			D2R_Jank				pal		2	2	dmg%		130	160	att%		100	100	ac		50	50	regen-mana		15	15	light		4	4	dmg-norm		20	45	skill	Holy Bolt	4	4	skill	Fist of the Heavens	2	2	hit-skill	CTC_FistoftheHeavens	5	4					oskill	CharmSkill	1	1		0
Fleshrender	104	100	1			1	1	46	38	9sp	Barbed Club		5	5000	blac			D2R_Jank				openwounds		5	15	noheal		1	1	crush		10	10	deadly		5	10	dmg-norm		35	50	dmg%		130	200	dru		1	1	skilltab	16	2	2	dur		20	20									oskill	CharmSkill	1	1		0
Sureshrill Frost	105	100	1			1	1	47	39	9ma	Flanged Mace		5	5000				D2R_Jank				dmg-cold	125	63	112	nofreeze		1	1	dmg%		150	180	dmg-norm		5	10	freeze		3	3	charged	Frozen Orb	50	10	addxp		2	5																	oskill	CharmSkill	1	1		0
Moonfall	106	100	1			1	1	50	42	9mt	Jagged Star		5	5000				D2R_Jank				hit-skill	CTC_Meteor	5	6	dmg-fire		55	115	red-mag		9	12	dmg%		120	150	light		2	2	charged	Meteor	30	15	dmg-norm		10	15																	oskill	CharmSkill	1	1		0
Baezil's Vortex	107	100	1			1	1	53	45	9fl	Knout		5	5000	dblu	dblu		D2R_Jank				hit-skill	CTC_Nova	10	5	dmg-ltng		1	150	mana		100	100	res-ltng		25	25	dmg%		160	200	swing		20	20	charged	Nova	80	15																	oskill	CharmSkill	1	1		0
Earthshaker	108	100	1			1	1	51	43	9wh	Battle Hammer		5	5000				D2R_Jank				hit-skill	CTC_Fissure	5	7	swing		30	30	dmg%		180	180	stupidity		1	1	skilltab	16	3	3	dur		50	50	addxp		2	5																	oskill	CharmSkill	1	1		0
Bloodtree Stump	109	100	1			1	1	40	48	9m9	War Club (Barb)		5	5000	dred			D2R_Jank				crush		20	20	dmg%		180	220	res-all		20	20	str		25	25	skilltab	13	2	2	oskill	Ground Render	3	3	dur		40	40																	oskill	CharmSkill	1	1		0
The Gavel of Pain	110	100	1			1	1	53	45	9gm	Martel de Fer (Barb)		5	5000				D2R_Jank				hit-skill	CTC_TearDown	5	5	gethit-skill	CTC_IronMaiden	5	5	thorns		26	26	dmg-norm		12	30	dmg%		130	160																									oskill	CharmSkill	1	1		0
Bloodletter	111	100	1			1	1	40	30	9ss	Gladius		5	5000	cred	cred		D2R_Jank				dmg-norm		12	45	att		90	90	lifesteal		8	8	manasteal		8	8	swing		20	20	dmg%		140	140	skill	Master at Arms	2	4	skill	Whirlwind	1	3	dur		30	30									oskill	CharmSkill	1	1		0
Coldsteel Eye	112	100	1			1	1	40	31	9sm	Cutlass		5	5000	dgry			D2R_Jank				stupidity		1	1	slow		15	30	deadly		10	10	dur		50	50	dmg%		200	250	swing		20	20	manasteal		6	6																	oskill	CharmSkill	1	1		0
Hexfire	113	100	1			1	1	41	33	9sb	Shamshir		5	5000				D2R_Jank				charged	Hydra	12	10	ignore-ac		1	1	res-fire		25	25	res-fire-max		10	10	dmg-norm		35	40	dmg%		140	160	fireskill		3	3																	oskill	CharmSkill	1	1		0
Blade of Ali Baba	114	100	1			1	1	43	35	9fc	Tulwar		5	5000	cred	cred		D2R_Jank				sock		2	2	gold%/lvl	20			mag%/lvl	8			mana		15	15	dmg%		60	120	dex		5	15																					oskill	CharmSkill	1	1		0
Ginther's Rift	115	100	1			1	1	45	37	9cr	Dimensional Blade (sorc)		5	5000	cblu			D2R_Jank				red-mag		7	12	swing		30	30	rep-dur	20			dur		40	40	dmg-mag		50	120	dmg%		100	150																					oskill	CharmSkill	1	1		0
Headstriker	116	100	1			1	1	47	39	9bs	Battle Sword		5	5000	bwht	bwht		D2R_Jank				noheal		1	1	str		15	15	deadly/lvl	3			dmg/lvl	8			dmg%		150	150																									oskill	CharmSkill	1	1		0
Plague Bearer	117	100	1			1	1	49	41	9ls	Rune Sword		5	5000				D2R_Jank				hit-skill	CTC_PoisonNova	5	4	dmg-pois	200	384	384	dmg-norm		10	45	dmg%		150	150	res-pois		45	45	oskill	Blight Strike	5	5																					oskill	CharmSkill	1	1		0
The Atlantian	118	100	1			1	1	50	42	9wd	Ancient Sword		5	5000	lblu	lblu		D2R_Jank				dur		100	100	ac		75	75	str		16	16	dex		12	12	vit		8	8	dmg%		200	250	pal		2	2	att%		50	50													oskill	CharmSkill	1	1		0
Crainte Vomir	119	100	1			1	1	50	42	92h	Katana (Assassin)		5	5000	lgld			D2R_Jank				slow		35	35	dmg-ac		-70	-70	move		20	20	red-dmg%		10	10	dmg%		160	200	swing		50	50	charge-noconsume	20	30																		oskill	CharmSkill	1	1		0
Bing Sz Wang	120	100	1			1	1	51	43	9cm	Dacian Falx		5	5000				D2R_Jank				ease		-30	-30	dmg-cold	75	50	140	str		20	20	freeze		2	2	hit-skill	CTC_FrozenOrb	5	3	dmg%		130	160																					oskill	CharmSkill	1	1		0
The Vile Husk	121	100	1			1	1	52	44	9gs	Tusk Sword		5	5000	dgry	dgry		D2R_Jank				hit-skill	CTC_TearDown	6	5	dmg-und/lvl	60			res-pois		50	50	dmg-pois	150	426	426	dmg%		150	200	att-und/lvl	20																							oskill	CharmSkill	1	1		0
Cloudcrack	122	100	1			1	1	53	45	9b9	Gothic Sword		5	5000				D2R_Jank				hit-skill	CTC_FistoftheHeavens	6	7	dmg-ltng		1	240	ac		30	30	light		2	2	res-ltng-max		10	10	dmg%		150	200	light-thorns		15	15	skilltab	10	2	2	skilltab	11	2	2									oskill	CharmSkill	1	1		0
Todesfaelle Flamme	123	100	1			1	1	54	46	9fb	Zweihander		5	5000				D2R_Jank				dmg-fire		50	200	res-fire		40	40	abs-fire		10	10	att-skill	CTC_FireBall	10	6	dmg%		120	160	charged	Enchant	45	10	charged	Fire Wall	20	5																	oskill	CharmSkill	1	1		0
Swordguard	124	100	1			1	1	55	48	9gd	Executioner Sword		5	5000	bwht	bwht		D2R_Jank				ease		-50	-50	ac/lvl	40			res-all		10	20	ac-miss		100	100	dmg-to-mana		30	30	dmg%		170	180	ac-hth		200	200	balance		20	20	block		20	20									oskill	CharmSkill	1	1		0
Spineripper	125	100	1			1	1	40	32	9dg	Poignard		5	5000				D2R_Jank				ignore-ac		1	1	lifesteal		8	8	noheal		1	1	swing		15	15	dex		10	10	dmg%		200	240	dmg-norm		15	27	nec		1	1													oskill	CharmSkill	1	1		0
Heart Carver	126	100	1			1	1	44	36	9di	Rondel		5	5000				D2R_Jank				deadly		20	20	ignore-ac		1	1	dmg-norm		15	35	dmg%		190	240	skill	Shout	4	4	skill	Natural Resistance	4	4	skill	Focus	4	4																	oskill	CharmSkill	1	1		0
Blackbog's Sharp	127	100	1			1	1	46	38	9kr	Cinquedeas (Necro)		5	5000				D2R_Jank				slow		50	50	ac		50	50	dmg-norm		15	45	swing		30	30	dmg-pois	250	512	512	skill	Blight Strike	5	5	skill	Poison Explosion	4	4	skill	Poison Nova	4	4													oskill	CharmSkill	1	1		0
Stormspike	128	100	1			1	1	49	41	9bl	Stilleto (Necro)		5	5000	cblu	cblu		D2R_Jank				dmg-ltng		1	120	light-thorns		20	20	gethit-skill	CTC_ChargedBolt	25	3	dmg%		150	150	res-ltng/lvl	8																											oskill	CharmSkill	1	1		0
Deathbit	129	100	1			1	1	52	44	9tk	battle dart (Assassin)		5	5000				D2R_Jank				deadly		20	20	dmg%		130	180	att		200	450	lifesteal		7	9	manasteal		4	6	rep-quant	99			kill-skill	Corpse Explosion	5	5																	oskill	CharmSkill	1	1		0
The Scalper	130	100	1			1	1	65	57	9ta	Francisca (Barb)		5	5000				D2R_Jank				rep-quant	99			dmg%		150	200	att%		25	25	swing		20	20	openwounds		5	25	lifesteal		4	6	mana-kill		4	4	oskill	Razor Sharp	3	3													oskill	CharmSkill	1	1		0
Constantly Waging	131	100	1			1	1	43	39	9bk	War Dart		5	5000	blac	blac		D2R_Jank				dmg%		110	220	skill	Blade Fury	2	5	swing		30	30	demon-heal		5	5	move		30	30	rep-quant	99																							oskill	CharmSkill	1	1		0
Realm Crusher	132	100	1			1	1	38	35	9b8	Hurlbat		5	5000	lred	lred		D2R_Jank				skill	Fan Out	1	2	ext-missile		1	2	dmg-throw		15	35	dmg-fire		35	55	rep-quant	99			mana-kill		1	5	dmg%		100	125																	oskill	CharmSkill	1	1		0
Quickening Strikes	133	100	1			1	1	30	26	9ja	War Javelin (Barb)		5	5000	lyel	lyel		D2R_Jank				swing		10	40	pierce-cold		5	15	extra-cold		10	20	dmg%		100	160	manasteal		3	5	rep-quant	99			dmg-throw		10	25	pierce-immunity-cold		3	8													oskill	CharmSkill	1	1		0
Shrapnel Impact	134	100	1			1	1	34	32	9pi	Great Pilum (Barb)		5	5000	lred	lred		D2R_Jank				oskill	Throwing Mastery	3	3	oskill	Lightning Fury	3	3	dmg-throw		15	35	dmg%		75	125	att		80	95	rep-quant	99			ext-missile		1	2																	oskill	CharmSkill	1	1		0
Tempest Flash	135	100	1			1	1	37	35	9s9	Simbilan (Barb)		5	5000	lgry	lgry		D2R_Jank				move		10	25	swing		30	30	dmg-ltng		1	115	rep-quant	99			dmg-mag		15	45	light		5	5	dmg%		95	115	mana		25	35													oskill	CharmSkill	1	1		0
Untethered	136	100	1			1	1	39	37	9gl	Spiculum (Barb)		5	5000	lblu	lblu		D2R_Jank				skilltab	14	2	4	oskill	Battle Cry	3	3	att		100	150	att%		35	45	dmg-cold	50	45	75	rep-quant	99			extra-cold		3	7	dmg-throw		30	30													oskill	CharmSkill	1	1		0
Unrelenting Will	137	100	1			1	1	41	39	9ts	Harpoon (Barb)		5	5000	blac	blac		D2R_Jank				dmg-min		35	44	dmg%		120	130	swing		20	20	reduce-ac		15	25	openwounds		15	15	rep-quant	99			hit-skill	CTC_TearDown	5	5	dmg-max		46	55													oskill	CharmSkill	1	1		0
The Impaler	138	100	1			1	1	39	31	9sr	War Spear (Now Pole)		5	5000	lred	lred		D2R_Jank				ignore-ac		1	1	att		150	150	swing		20	20	openwounds		15	40	noheal		1	1	dmg%		140	170	hp/lvl		8	16	dmg%/lvl	16															oskill	CharmSkill	1	1		0
Kelpie Snare	139	100	1			1	1	41	33	9tr	Fuscina (Now Pole)		5	5000				D2R_Jank				slow		75	75	res-fire		50	50	hp/lvl	10			dmg-norm		30	50	str		10	10	dmg%		140	180																					oskill	CharmSkill	1	1		0
Soulfeast Tine	140	100	1			1	1	43	35	9br	War Fork (Now Pole)		5	5000	lyel	lyel		D2R_Jank				ease		-20	-20	lifesteal		7	7	manasteal		7	7	hp%		6	10	dmg%		150	190	att		150	250	dur		15	15																	oskill	CharmSkill	1	1		0
Hone Sundan	141	100	1			1	1	45	37	9st	Yari (Now Pole)		5	5000				D2R_Jank				sock	3			dmg-norm		20	40	crush		5	15	rep-dur	10			dmg%		160	200																									oskill	CharmSkill	1	1		0
Spire of Honor	142	100	1			1	1	47	39	9p9	Lance (Now Pole)		5	5000	lgry	lgry		D2R_Jank				att%		25	25	light		3	3	regen		20	20	balance		20	20	dmg-norm		20	40	dmg-dem/lvl	12			dmg%		150	200	skilltab	9	3	3	ac		125	125									oskill	CharmSkill	1	1		0
The Meat Scraper	143	100	1			1	1	49	41	9b7	Lochaber Axe		5	5000	dred	dred		D2R_Jank				dmg%		150	200	swing		30	30	lifesteal		10	10	openwounds		15	40	mag%		25	25	skilltab	13	3	3																					oskill	CharmSkill	1	1		0
Blackleach Blade	144	100	1			1	1	50	42	9vo	Bill		5	5000	blac	blac		D2R_Jank				ease		-25	-25	hit-skill	CTC_Weaken	5	5	light		-2	-2	lifesteal		8	8	dmg/lvl	10			dmg%		100	140																					oskill	CharmSkill	1	1		0
Athena's Wrath	145	100	1			1	1	50	42	9s8	Battle Scythe (Necro)		5	5000				D2R_Jank				nec		1	3	dex		15	15	swing		30	30	hp/lvl	8			dmg/lvl	8			dmg%		150	180	extra-pois		8	15																	oskill	CharmSkill	1	1		0
Pierre Tombale Couant	146	100	1			1	1	51	43	9pa	Partizan		5	5000	lgld	lgld		D2R_Jank				deadly		15	40	att%/lvl	1			balance		30	30	lifesteal		6	6	dmg-norm		12	20	dmg%		160	220	swing		20	20																	oskill	CharmSkill	1	1		0
Husoldal Evo	147	100	1			1	1	52	44	9h9	Bec-de-Corbin		5	5000				D2R_Jank				regen		20	20	att		200	250	noheal		1	1	dmg-norm		20	32	dmg%		160	200	swing		20	20																					oskill	CharmSkill	1	1		0
Grim's Burning Dead	148	100	1			1	1	52	45	9wc	Grim Scythe (Necro)		5	5000	cred	cred		D2R_Jank				dmg-fire		131	232	res-fire		45	45	dmg%		140	180	thorns		8	8	ease		-50	-50	nec		3	3	reduce-ac		50	50	ac		160	160	att		200	250									oskill	CharmSkill	1	1		0
Razorswitch	149	100	1			1	1	36	28	8ss	Jo Stalf		5	5000	lpur			D2R_Jank				cast		30	30	thorns		15	15	mana		175	175	hp		80	80	red-mag		15	15	res-all		50	50	allskills		1	2																	oskill	CharmSkill	1	1		0
Ribcracker	150	100	1			1	1	39	31	8ls	Quarterstaff		5	5000	lblu	lblu		D2R_Jank				dmg-norm		30	65	dmg%		200	300	crush		15	30	dex		15	15	ac		100	100	ac%		100	100	balance		50	50	swing		50	50	dur		100	100									oskill	CharmSkill	1	1		0
Chromatic Ire	151	100	1			1	1	43	35	8cs	Cedar Staff		5	5000				D2R_Jank				sor		3	3	res-all		20	40	cast		30	30	light-thorns		20	20	hp%		20	25	skill	Fire Mastery	1	3	skill	Lightning Mastery	1	3	skill	Cold Mastery	1	3													oskill	CharmSkill	1	1		0
Warpspear	152	100	1			1	1	47	39	8bs	Gothic Staff		5	5000	cblu	cblu		D2R_Jank				sor		2	2	ignore-ac		1	1	skill	Discharge	3	3	skill	Static Field	3	3	skill	Energy Shield	3	3	ac-miss		250	250	dmg%		175	225	swing		40	60													oskill	CharmSkill	1	1		0
Skullcollector	153	100	1			1	1	49	41	8ws	Rune Staff		5	5000	blac	blac		D2R_Jank				mana%		20	20	mana-kill		20	20	allskills		2	2	mag%/lvl	8			cast		60	60	att-skill	CTC_BoneSpirit	5	15	gethit-skill	CTC_BonePrison	2	10																	oskill	CharmSkill	1	1		0
Skystrike	154	100	1			1	1	36	28	8sb	Edge Bow		5	5000				D2R_Jank				dmg-ltng		1	250	att		100	100	enr		10	10	swing		30	30	dmg%		150	200	hit-skill	CTC_Meteor	2	6	ama		1	1																	oskill	CharmSkill	1	1		0
Riphook	155	100	1			1	1	39	31	8hb	Razor Bow		5	5000	cred	cred		D2R_Jank				openwounds		15	30	dmg%		180	220	slow		30	30	mana		35	35	swing		30	30	lifesteal		7	10																					oskill	CharmSkill	1	1		0
Kuko Shakaku	156	100	1			1	1	41	33	8lb	CedarBow		5	5000	lpur	lpur		D2R_Jank				skill	Curtain of Fire	3	3	skill	Exploding Arrow	5	5	dmg%		150	180	pierce		50	50	dmg-fire		40	180	skilltab	0	3	3																					oskill	CharmSkill	1	1		0
Endlesshail	157	100	1			1	1	44	36	8cb	Double Bow		5	5000				D2R_Jank				res-cold		35	35	mana		40	40	ac-miss		150	150	skill	Hail of Arrows	1	4	dmg%		180	220	dmg-cold	75	15	30	pierce-cold		10	20	pierce-immunity-cold		5	10													oskill	CharmSkill	1	1		0
Whichwild String	158	100	1			1	1	47	39	8s8	Short Siege Bow		5	5000	lblu	lblu		D2R_Jank				hit-skill	CTC_TearDown	2	5	res-all		40	40	deadly/lvl	8			dmg%		150	170	skill	Prismatic Arrow	3	7	sock	2																							oskill	CharmSkill	1	1		0
Cliffkiller	159	100	1			1	1	49	41	8l8	Long Siege Bow		5	5000	dgld			D2R_Jank				ama		2	2	dmg%		190	230	ac-miss		180	280	hp		50	50	dmg-min		5	10	dmg-max		20	30																					oskill	CharmSkill	1	1		0
Magewrath	160	100	1			1	1	51	43	8sw	Rune Bow		5	5000	oran			D2R_Jank				manasteal		15	15	red-mag		9	13	skill	Guided Arrow	3	3	att		200	250	dex		10	10	stupidity		1	1	dmg-norm		25	50	dmg%		120	150	ama		1	1									oskill	CharmSkill	1	1		0
Godstrike Arch	161	100	1			1	1	54	46	8lw	Gothic Bow		5	5000	lgry	lgry		D2R_Jank				dmg%		200	250	att%		100	150	dmg-undead		100	200	dmg-demon		100	200	hit-skill	CTC_FistoftheHeavens	5	7	swing		50	50	regen		12	12																	oskill	CharmSkill	1	1		0
Langer Briser	162	100	1			1	1	40	32	8lx	Arbalest		5	5000				D2R_Jank				dmg%		170	200	mag%		30	60	hp		30	30	dmg-max		10	30	openwounds		20	20	dmg-ltng		1	212																					oskill	CharmSkill	1	1		0
Pus Spiter	163	100	1			1	1	44	36	8mx	Siege Crossbow		5	5000	cgrn	cgrn		D2R_Jank				dmg-pois	200	192	192	hit-skill	CTC_LowerResist	4	1	allskills		2	2	ease		-60	-60	gethit-skill	CTC_PoisonNova	9	6	swing		10	10	dmg%		150	220	att/lvl	10															oskill	CharmSkill	1	1		0
Buriza-Do Kyanon	164	100	1			1	1	59	41	8hx	Balista		5	5000				D2R_Jank				pierce		100	100	dex		35	35	ac		75	150	dmg/lvl	20			swing		80	80	dmg%		150	200	freeze		3	3	dmg-cold	200	32	196													oskill	CharmSkill	1	1		0
Demon Machine	165	100	1			1	1	57	49	8rx	Chu-Ko-Nu		5	5000	blac	blac		D2R_Jank				ac		321	321	mana		36	36	pierce		66	66	skill	Exploding Arrow	6	6	dmg-max		66	66	dmg%		123	123	att		632	632																	oskill	CharmSkill	1	1		0
Untrained Eye	166	100	1			1	1	3	1	ktr	Katar		5	5000				D2R_Jank				dmg%		50	50	dmg-max		3	6	att		40	40	stupidity		2	2	swing		10	10	move		10	20																					oskill	CharmSkill	1	1		0
Redemption	167	100	1			1	1	12	9	wrb	Wrist Blade		5	5000				D2R_Jank				dmg-norm		5	10	manasteal		5	8	move		10	10	reduce-ac		33	33	skilltab	20	1	1	swing		20	20	aura	Redemption_I	2	2																	oskill	CharmSkill	1	1		0
Ancient Hand	168	100	1			1	1	15	12	axf	Hatchet Hands		5	5000				D2R_Jank				dmg-min		9	9	mana-kill		2	2	sock		2	2	res-mag		10	10	dmg-mag		6	8																									oskill	CharmSkill	1	1		0
Willbreaker	169	100	1			1	1	18	15	ces	Cestus		5	5000				D2R_Jank				howl		32	32	dmg%		55	85	move		20	20	dmg-ltng		1	25	dmg-fire		6	9	crush		15	15																					oskill	CharmSkill	1	1		0
Skyfall Grip	170	100	1			1	1	21	18	clw	Claws		5	5000				D2R_Jank				hit-skill	CTC_Meteor	4	3	hit-skill	CTC_FistoftheHeavens	2	4	dmg%		85	85	ac		40	40	noheal		1	1	slow		20	20																					oskill	CharmSkill	1	1		0
Oathbinder	171	100	1			1	1	22	19	btl	Blade Talons		5	5000				D2R_Jank				ass		1	1	att%/lvl	4			dmg-demon		100	100	dmg-norm		10	15	dmg%		80	80	ethereal		1	1	indestruct		1	1																	oskill	CharmSkill	1	1		0
Pride's Fan	172	100	1			1	1	23	20	skr	Scissors Katar		5	5000				D2R_Jank				dmg%		90	90	oskill	Cobra Strike	1	3	demon-heal		6	10	mana-perhit		1	2	swing		10	10	slow		20	40																					oskill	CharmSkill	1	1		0
Burning Sun	173	100	1			1	1	24	21	9ar	Quhab		5	5000				D2R_Jank				dmg%		110	150	oskill	Fists of Fire	2	3	pierce-fire		10	25	all-stats		6	15	swing		20	20	openwounds		10	25	dmg-fire		60	123	dualsteal		3	5	pierce-immunity-fire		5	10									oskill	CharmSkill	1	1		0
Severance	174	100	1			1	1	26	24	9wb	Wrist Spike		5	5000				D2R_Jank				dmg%		100	100	dmg-norm		20	35	ac-hth		100	175	blockrate		20	20	skilltab	19	2	2	mana-perhit		3	5	ease		-20	-20																	oskill	CharmSkill	1	1		0
Hand of Madness	175	100	1			1	1	30	27	9xf	Fascia		5	5000				D2R_Jank				dmg%		140	210	hit-skill	CTC_MindBlast	5	5	hit-skill	CTC_Confuse	2	3	reanimate		10	10	swing		40	50	dmg-min		8	15	skill	Venom	3	6																	oskill	CharmSkill	1	1		0
Vanquisher	176	100	1			1	1	34	30	9cs	Hand Scythe		5	5000				D2R_Jank				ethereal		1	1	skilltab	18	1	3	swing		30	30	oskill	Fade	3	3	oskill	Wake of Fire Sentry	1	2	extra-fire		5	20	indestruct		1	1																	oskill	CharmSkill	1	1		0
Wind-Forged Blade	177	100	1			1	1	37	33	9lw	Greater Claws		5	5000				D2R_Jank				dmg%		100	120	att-skill	CTC_Twister	5	10	hit-skill	CTC_Tornado	1	10	oskill	Whirlwind	2	2	oskill	Claws of Thunder	2	3	oskill	Cyclone Armor	0	4	move		20	20																	oskill	CharmSkill	1	1		0
Bartuc's Cut-Throat	178	100	1			1	1	50	42	9tw	Greater Talons		5	5000				D2R_Jank				ass		2	2	skilltab	20	1	1	dmg%		150	200	balance		30	30	att%		20	20	str		20	20	dex		20	20	lifesteal		5	9	dmg-norm		25	50									oskill	CharmSkill	1	1		0
Void Ripper	179	100	1			1	1	45	43	9qr	Scissors Quhab		5	5000				D2R_Jank				kill-skill	VoidRelease	25	5	stupidity		3	3	slow		15	15	dmg%		260	260	att%		15	40	oskill	Blade Shield	3	3	all-stats		5	15	manasteal		6	6	noheal		1	1									oskill	CharmSkill	1	1		0
Soul-Forged Grip	180	100	1			1	1	49	44	7ar	Suwayyah		5	5000				D2R_Jank				dmg%		200	240	aura	Redemption_I	6	10	dual-perhit		8	8	openwounds		15	15	att		200	475	ass		1	3																					oskill	CharmSkill	1	1		0
Jadetalon	181	100	1			1	1	74	66	7wb	wrist sword		5	5000	cgrn	cgrn		D2R_Jank				dmg%		190	240	manasteal		10	15	res-all		40	50	balance		30	30	skilltab	19	1	2	skilltab	20	1	2																					oskill	CharmSkill	1	1		0
Malignant Touch	182	100	1			1	1	78	68	7xf	War Fist		5	5000				D2R_Jank				dmg%		260	260	splash	Splash	100	1	oskill	Cobra Strike	3	3	oskill	Royal Strike	1	3	oskill	Tiger Strike	3	3	freeze		1	1	regen		10	15																	oskill	CharmSkill	1	1		0
Shadowkiller	183	100	1			1	1	85	78	7cs	battle cestus		5	5000				D2R_Jank				dmg%		170	220	reduce-ac		25	25	freeze		2	2	mana-kill		10	15	hit-skill	CTC_FrostNova	33	8	ethereal		1	1	indestruct		1	1																	oskill	CharmSkill	1	1		0
Firelizard's Talons	184	100	1			1	1	88	79	7lw	feral claws		5	5000				D2R_Jank				dmg%		200	270	swing		15	15	skilltab	20	1	3	dmg-fire		236	480	res-fire		40	70	skill	Wake of Fire Sentry	1	2	skill	Fire Trauma	1	2																	oskill	CharmSkill	1	1		0
Viz-Jaq'taar Order	185	100	1			1	1	90	82	7tw	Runic Talons		5	5000				D2R_Jank				ease		-50	-50	skill	Cloak of Shadows	4	6	skilltab	18	2	4	res-all		5	25	balance		24	24	ac		100	100	str		20	35	swing		20	50	heal-kill		5	25	extra-elem		10	25					oskill	CharmSkill	1	1		0
Mage Crusher	186	100	1			1	1	90	83	7qr	Scissors Suwayyah		5	5000				D2R_Jank				dmg%		210	240	swing		40	40	move		40	40	res-all		10	30	att%		90	120	allskills		1	3	mana-kill		10	20	heal-perhit		3	6	dmg-demon		100	200	att-demon		180	200	att-skill	MageCrush	5	1	oskill	CharmSkill	1	1		0
Razoredge	187	100	1			1	1	75	67	7ha	tomahawk		5	5000	lblu			D2R_Jank				dmg%		175	225	swing		40	40	reduce-ac		33	33	deadly		10	10	openwounds		5	15																									oskill	CharmSkill	1	1		0
Glittering Crescent	188	100	1			1	1	76	68	7ax	Small Crescent		5	5000	whit	whit		D2R_Jank				mag-min		38	45	mag-max		60	67	fire-min		38	45	fire-max		60	67	deadly		5	10	att		200	250	enr/lvl	3			dmg%		215	280													oskill	CharmSkill	1	1		0
Runemaster	189	100	1			1	1	80	72	72a	ettin axe		5	5000	lblu	lblu		D2R_Jank				dmg%		220	270	sock		3	5	res-cold-max		5	5	nofreeze		1	1																													oskill	CharmSkill	1	1		0
Cranebeak	190	100	1			1	1	71	63	7mp	Reaper Sickle (Necro)		3	5000	dgry			D2R_Jank				dmg%		240	300	dmg-ltng		1	305	swing		40	40	reduce-ac		25	25	mag%		20	50	charged	Murder Calling	30	8																					oskill	CharmSkill	1	1		0
Deathcleaver	191	100	1			1	1	78	70	7wa	berserker axe		5	5000	dred			D2R_Jank				dmg%		230	280	deadly		33	33	reduce-ac		33	33	swing		40	40	heal-kill		6	9																									oskill	CharmSkill	1	1		0
Blessed Beheader	192	100	1			1	1	80	72	7la	Feral Axe		5	5000	dgry	dgry		D2R_Jank				dmg-min		25	35	dmg%		220	270	deadly		5	20	openwounds		5	15	dmg-demon		100	110	dmg-undead		100	110	lifesteal		4	7	att-demon		180	200	att-undead		180	200									oskill	CharmSkill	1	1		0
Ethereal Edge	193	100	1			1	1	82	74	7ba	silver-edged axe		5	5000	whit	whit		D2R_Jank				dmg%		250	280	swing		45	45	abs-fire		10	12	dmg-demon		150	200	demon-heal		5	10	att		270	350	ethereal		1	1	indestruct		1	1	allskills		1	1									oskill	CharmSkill	1	1		0
Hellslayer	194	100	1			1	1	71	66	7bt	Decapitator		5	5000	dred	dred		D2R_Jank				str/lvl	4			vit/lvl	4			dmg%/lvl	24			dmg-fire		150	250	hp		25	25	dmg%		100	100	att-skill	CTC_GlacialSpike	10	0																	oskill	CharmSkill	1	1		0
Messerschmidt's Reaver	195	100	1			1	1	75	70	7ga	Champion Axe (Barb)		5	5000	blac	blac		D2R_Jank				dmg%/lvl	20			dmg%		200	200	str		15	15	dex		15	15	vit		15	15	enr		15	15	dmg-fire		20	240	dur		25	25	att%		100	100									oskill	CharmSkill	1	1		0
Executioner's Justice	196	100	1			1	1	83	75	7gi	glorious axe (Barb)		5	5000	blac	blac		D2R_Jank				dmg%		240	290	crush		10	20	reduce-ac		33	33	kill-skill	CTC_Decrepify	50	6	swing		30	30																									oskill	CharmSkill	1	1		0
Bane Glow	197	100	1			1	1	68	65	7wn	Polished Wand		5	5000	lgrn	lgrn		D2R_Jank				nec		1	2	oskill	Poison Explosion	1	3	oskill	Poison Nova	1	3	oskill	Lower Resist	3	3	cast		25	30	extra-pois		10	30	pierce-pois		10	15	pierce-immunity-poison		5	15													oskill	CharmSkill	1	1		0
Malthael Touch	198	100	1			1	1	77	75	7yw	Ghost Wand		5	5000	blac	blac		D2R_Jank				nec		2	2	sum-ex		1	1	sum-all		25	40	oskill	Summon Mastery	3	3	skilltab	8	1	4	mana%		25	35																					oskill	CharmSkill	1	1		0
Boneshade	199	100	1			1	1	84	79	7bw	lich wand		3	5000	dgry	dgry		D2R_Jank				nec		1	2	cast		25	25	skill	Teeth	4	5	skill	Bone Armor	2	3	skill	Bone Spear	2	3	skill	Bone Spirit	1	2	oskill	Feeble Frame	0	5																	oskill	CharmSkill	1	1		0
Deaths's Web	200	100	1			1	1	74	66	7gw	unearthed wand		5	5000	bwht	bwht		D2R_Jank				allskills		1	2	pierce-pois		40	50	heal-kill		7	12	mana-kill		7	12	skilltab	7	1	2	pierce-immunity-poison		20	25																					oskill	CharmSkill	1	1		0
